,Time,transcription,url
4,2025-03-16 03:16:04, Thank you.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_141547.mp3
22,2025-03-16 03:16:04, You can get a little bit of feeling of car balance made.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/YUKTSU01_22_20250316_112009.mp3
4,2025-03-16 03:16:36, Subtitles by the Amara.org community,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_141603.mp3
16,2025-03-16 04:11:03," In seven minutes, we expect class one lasting for five minutes. Class one.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/CHALEC01_16_20250316_151042.mp3
55,2025-03-16 04:22:48, I had like a massive torque surge.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/CARSAI01_55_20250316_152224.mp3
12,2025-03-16 04:28:55," From the replays, it looks like Doohan lost it on straight just by putting a wheel on the white lines. Just watch the painted lines. Yeah, I almost did the same, so yeah, they're quite slippery. Okay, good man.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/ANDANT01_12_20250316_152817.mp3
4,2025-03-16 04:30:57, Weather update. No significant rain expected for at least 30 minutes.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_153047.mp3
4,2025-03-16 04:35:33," They're okay. I mean, little bits in the last sector I actually think have some dry patches, but some bits are still pretty wet. 100% in throughout the minute, definitely not close to the wet, but if it stays like this, it will dry up at some point, if it doesn't rain. Okay, understood.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_153444.mp3
16,2025-03-16 04:42:36," Main tyre to cool down, front left. Too many information, if you can leave me to enter a little bit more.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/CHALEC01_16_20250316_154214.mp3
4,2025-03-16 04:45:11," In six laps time, there's possibly one lap of class one rain. General rain risk increasing.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_154502.mp3
44,2025-03-16 04:45:40," Good news. K1, are you close? K1, available? Yes, I know. Leave me to it, please.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LEWHAM01_44_20250316_154527.mp3
1,2025-03-16 04:54:22," If this happens right, we might need to pit for new. Bear in mind, we would currently lose positions for doing that. Max, we're expecting the weather to start clearing in 10 minutes, if you can hold on.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/MAXVER01_1_20250316_155357.mp3
4,2025-03-16 04:56:24," Lando, a bit of an update. If there was a safety car, we think we would currently stay out on this set. This set is moving towards quick comedians. Yeah, agreed. If it rained more, we'd have to change. Yeah, if it rains more, we'd change. If it stays like this, we're fine.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_155556.mp3
44,2025-03-16 04:59:00," Lost gear, Sink, lost gear, Sink. Understood, we suggest B-Big free.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LEWHAM01_44_20250316_155855.mp3
44,2025-03-16 05:07:06," To avoid the denied DRS, we suggest upshift and then DRS. Please leave it. Yes, please leave it. I'm running the car as we go, mate. Just leave me to it with the DRS. It's not an issue.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LEWHAM01_44_20250316_160655.mp3
16,2025-03-16 05:34:03," In three laps, Class 3 rain expected, lasting for two laps. Class 3 is a lot. Yes, this is what we see for the radar, but we'll have to wait for it.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/CHALEC01_16_20250316_163332.mp3
4,2025-03-16 05:34:57," Seems like it'll be next lap now. We don't want to jump too early, plus half in pit lane.",https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_163454.mp3
12,2025-03-16 05:35:29, The rain could get pretty intense.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/ANDANT01_12_20250316_163524.mp3
4,2025-03-16 05:58:38, Verstappen has Deres the paces in the car do not ever push,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/LANNOR01_4_20250316_165818.mp3
12,2025-03-16 06:01:42, Thank you.,https://livetiming.formula1.com/static/2025/2025-03-16_Australian_Grand_Prix/2025-03-16_Race/TeamRadio/ANDANT01_12_20250316_170136.mp3
