,Time,transcription,url
4,2025-03-23 06:12:15, Subtitles by the Amara.org community,https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/LANNOR01_4_20250323_141203.mp3
1,2025-03-23 07:05:08," Yeah, Charles has a broken front wing.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/MAXVER01_1_20250323_150439.mp3
16,2025-03-23 07:08:11, we have 20 to 30 points loss on the front if we can survive we stay we wait the first stop,https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/CHALEC01_16_20250323_150731.mp3
10,2025-03-23 07:08:43," Brakes on fire, fall on zone.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/PIEGAS01_10_20250323_150835.mp3
14,2025-03-23 07:09:53," Yeah, I got no brakes, no brakes, no brakes.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/FERALO01_14_20250323_150935.mp3
44,2025-03-23 07:11:24," I've been here a while, son.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/LEWHAM01_44_20250323_151057.mp3
22,2025-03-23 07:14:59," I want to use my front. We don't want to. Well, I want to. Okay, do what you need to do.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/YUKTSU01_22_20250323_151419.mp3
4,2025-03-23 07:16:31, Starting to struggle a little left front.,https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/LANNOR01_4_20250323_151607.mp3
23,2025-03-23 07:17:32," We're happy with tyres for now, but we are on the quicker side, right? Yeah, I'm good. I am good. I am better than everyone. Let's go next. I am very comfortable.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/ALEALB01_23_20250323_151718.mp3
16,2025-03-23 07:19:36," If it stays like this, I won't planet.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/CHALEC01_16_20250323_151926.mp3
16,2025-03-23 07:20:36," So it would be too much traffic, so we stick to plan B, plan B.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/CHALEC01_16_20250323_152024.mp3
81,2025-03-23 07:22:08," Oscar, do you think we can make a Plan C target lap? At the moment, I think it might be possible.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/OSCPIA01_81_20250323_152137.mp3
16,2025-03-23 07:24:42," These laps are good. Oh, what's he losing a bit of time now?",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/CHALEC01_16_20250323_152432.mp3
63,2025-03-23 07:26:13," I think it's going to go one stop, two foot send in, from left clearing up.",https://livetiming.formula1.com/static/2025/2025-03-23_Chinese_Grand_Prix/2025-03-23_Race/TeamRadio/GEORUS01_63_20250323_152556.mp3
