,Time,transcription,url
5,2025-04-06 04:09:45, Beep.,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/GABBOR01_5_20250406_130927.mp3
6,2025-04-06 04:25:36," So I unlocked a new problem, the seat is moving. I'm okay, but the seat is not attached.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/ISAHAD01_6_20250406_132505.mp3
30,2025-04-06 04:28:08," My drink's three bits of f***ing water all over my face, so we need to change something. Copy, understood.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LIALAW01_30_20250406_132737.mp3
30,2025-04-06 04:30:41," I can also hear something behind my head, sounds like a tariff but I didn't take a tariff off. Copy, we'll have a look.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LIALAW01_30_20250406_133010.mp3
1,2025-04-06 05:09:01," My options have gone really, really bad.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_140749.mp3
1,2025-04-06 05:14:10," Oh, that should have been better. Understood.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_141403.mp3
4,2025-04-06 05:17:15, and lander there is possible rain lap 20 class one one lap doesn't change our plan,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_141704.mp3
23,2025-04-06 05:19:46, these shifts are so bad what have we done to them it's been at the start it's now okay you'd be a bit more specific as to how where it is i'll try now yeah the same the same i've been talking about all the time okay,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/ALEALB01_23_20250406_141917.mp3
4,2025-04-06 05:23:31, Nano tyre update. No sign of graining on any compound. This is a rear thermal limiting race.,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_142302.mp3
4,2025-04-06 05:31:12," Lando, our main time loss to Verstappen is the hairpin, but you and Oscar are similar.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_143054.mp3
4,2025-04-06 05:31:43, and i'd like to box to overtake the staff and box to overtake the staff,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_143126.mp3
16,2025-04-06 05:33:18," And we'll keep on extending, no gaps yet at the back.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/CHALEC01_16_20250406_143243.mp3
4,2025-04-06 05:33:48, this pace is really strong keep it up,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_143317.mp3
1,2025-04-06 05:34:18," You want me to push or not? Yeah, we can push now, Max.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_143359.mp3
4,2025-04-06 05:37:21," Okay, we're on it.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_143718.mp3
1,2025-04-06 05:38:24," He drove himself into the grass. Yeah, we know the game, Max. As you are.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_143806.mp3
4,2025-04-06 05:38:54, saw me alongside i was easily alongside we're on it,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_143841.mp3
1,2025-04-06 05:39:27," Also, he pressed the pit limiter off too early, there's no way that was legal.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_143915.mp3
23,2025-04-06 05:43:01," Honestly, you guys make ABSOLUTELY no sense. Okay. Like, ridiculous. Right. Berman has pitted. Yeah, but... PIT BEFORE THEN! Trust me, it was worse before.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/ALEALB01_23_20250406_144219.mp3
4,2025-04-06 05:45:35, Okay Lando They said no further action on the pit exit Just means we'll have to overtake him on track Doing a good job with the tyres Better job than he is,https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LANNOR01_4_20250406_144506.mp3
31,2025-04-06 05:54:14," Please swap out of turn 14. 22 laps to go. From the next half, anything fast?",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/ESTOCO01_31_20250406_145344.mp3
10,2025-04-06 05:55:17," Okay, so we're going to swap places with Jack into turn one this time, please. So we'll swap places with Jack into turn one.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/PIEGAS01_10_20250406_145443.mp3
1,2025-04-06 05:59:22," Hi Max, just to confirm if the message wasn't clear already, we are happy for you to push from here.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/MAXVER01_1_20250406_145853.mp3
44,2025-04-06 06:01:25," I'd really like some info on where I'm slurping. Turn 8, 9. And 13, 14. Okay, but how much? Yeah, I'll tell you. Yeah, one tenth, 8 and 9.",https://livetiming.formula1.com/static/2025/2025-04-06_Japanese_Grand_Prix/2025-04-06_Race/TeamRadio/LEWHAM01_44_20250406_150046.mp3
