,Time,transcription,url
7,2025-04-13 14:10:48, Subtitles by the Amara.org community,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/JACDOO01_7_20250413_171018.mp3
7,2025-04-13 14:10:48, Subtitles by the Amara.org community,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/JACDOO01_7_20250413_171037.mp3
7,2025-04-13 14:11:21, Thanks for watching!,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/JACDOO01_7_20250413_171109.mp3
44,2025-04-13 14:11:51, Thank you.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/LEWHAM01_44_20250413_171133.mp3
63,2025-04-13 14:12:22, Beep.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/GEORUS01_63_20250413_171157.mp3
1,2025-04-13 14:27:40," I don't know if you'd like a flap adjust? No, no, the car doesn't turn already. It's corner. Do you want more then? No, because I'm also oversteering on entry.",https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/MAXVER01_1_20250413_172723.mp3
44,2025-04-13 15:03:55, Thank you.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/LEWHAM01_44_20250413_180333.mp3
1,2025-04-13 15:03:55, Thank you.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/MAXVER01_1_20250413_180337.mp3
44,2025-04-13 15:10:02, We're going to fly forward this time. Understood.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/LEWHAM01_44_20250413_180934.mp3
1,2025-04-13 15:12:05, Lando is over his grid box.,https://livetiming.formula1.com/static/2025/2025-04-13_Bahrain_Grand_Prix/2025-04-13_Race/TeamRadio/MAXVER01_1_20250413_181201.mp3
