,Time,transcription,url
81,2025-04-20 16:08:31, Thank you.,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_190822.mp3
44,2025-04-20 16:30:29, I just lost quite a bit of power coming out of turn 22. Understood. Taking a look.,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/LEWHAM01_44_20250420_193005.mp3
44,2025-04-20 16:31:30," I believe, as you were in charge, that's the reason, I believe.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/LEWHAM01_44_20250420_193052.mp3
81,2025-04-20 17:06:41," When I used to get that back, I was ahead.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_200622.mp3
1,2025-04-20 17:10:16," Yeah, he just forced me off, there was no intention of him to make that corner. Yeah, understood Max.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/MAXVER01_1_20250420_200953.mp3
81,2025-04-20 17:10:46," He was never going to make that corner, regardless of whether I was there or not.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_201037.mp3
1,2025-04-20 17:14:50, uh information you have been given a five second time penalty for the incident at turn one head down oh that is lovely yeah no yeah no comment thank you,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/MAXVER01_1_20250420_201409.mp3
1,2025-04-20 17:20:58, we have a track limit strike turn two that was for the incident at turn one on lab one i don't think we've done that it was like you said in the briefing roger understood,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/MAXVER01_1_20250420_202019.mp3
23,2025-04-20 17:23:30," Just think about your gap that car had with any overheating on the front. Guys, do you not see there's a car right behind me as well? Are we not thinking about that?",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/ALEALB01_23_20250420_202259.mp3
4,2025-04-20 17:25:04, how's the pace how's the tires yeah i mean tires are hot so yeah clean air would be incredible,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/LANNOR01_4_20250420_202435.mp3
4,2025-04-20 17:29:10," Okay mate, strat 8, strat 8, play the game.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/LANNOR01_4_20250420_202842.mp3
44,2025-04-20 17:31:20," We're just sliding around out here mate, not certain for us. Yeah understood, we believe he's overheating, try to gain the back.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/LEWHAM01_44_20250420_203109.mp3
1,2025-04-20 17:37:01," Still pulling away from the cars behind Max, there's still traffic that we've been put into, just keep going, this is a fantastic job.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/MAXVER01_1_20250420_203622.mp3
63,2025-04-20 17:42:07, Let's see how we thought it would go.,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/GEORUS01_63_20250420_204153.mp3
14,2025-04-20 17:46:49," Wow, he moved under braking, that was close, so close, check the car.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/FERALO01_14_20250420_204622.mp3
81,2025-04-20 17:58:35, and those plan is to keep extending something like plan c target plus four for him yep i think i'm starting to feel the dirty air a little bit so it's not ideal for me at the moment,https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_205816.mp3
16,2025-04-20 18:06:13," Well done, Charles. Thank you, Brian.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/CHALEC01_16_20250420_210545.mp3
81,2025-04-20 18:07:44," It's like a red flashing light on a balcony into St John, it's really annoying, looks identical to a red flag. Copy, we'll report.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_210714.mp3
55,2025-04-20 18:08:47," I think you're being paranoid about the idea that AMR Medium is never going to pass us. If you want me, I do it, but we have plenty of pace to pull away now. We'd like first to get Alex in our DRS, and once in the DRS, we use our pace. Copy.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/CARSAI01_55_20250420_210810.mp3
81,2025-04-20 18:17:56," Oh man, I need to get out of the way.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_211740.mp3
63,2025-04-20 18:21:30," This one left is not looking good at all, if you have any concerns about it getting to the end, I've got a band on the inside shoulder, it's opening.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/GEORUS01_63_20250420_212105.mp3
81,2025-04-20 18:27:07," Very well done, lovely job Oscar. Great work mate, really good. Yeah, well done everyone. It was a little bit more difficult to start than I had hoped for, but very, very well done. Car was great. Dirty air not so much, but I'm glad the dirty air is from lapping people. So well done everybody. Massive three weeks and let's keep it going. Got a lot of fun to have this year. Yeah, great job.",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/OSCPIA01_81_20250420_212619.mp3
1,2025-04-20 18:28:08," Well done, guys. I tried to give it everything I had. But, yeah, it is what it is. We move on. This weekend has been a lot, a lot positive for us. So, well done. Yeah, well done, Max. That was a good pace throughout the race. You finished 2.8 seconds behind Piastri. Obviously, that first corner, we've all got our opinions on. And, you know, good points today so and but most importantly very good pace yeah exactly that well done everyone",https://livetiming.formula1.com/static/2025/2025-04-20_Saudi_Arabian_Grand_Prix/2025-04-20_Race/TeamRadio/MAXVER01_1_20250420_212705.mp3
