,Time,transcription,url
12,2025-05-18 12:10:08, Thank you.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/ANDANT01_12_20250518_140952.mp3
12,2025-05-18 12:10:39, Thank you.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/ANDANT01_12_20250518_141022.mp3
63,2025-05-18 12:34:05," Can we just do a full once over the car please, it just doesn't feel right especially in the rear, most likely it's the tyres. I suspect so but yeah we'll take a look.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/GEORUS01_63_20250518_143322.mp3
43,2025-05-18 13:01:05," Thank you guys, thank you so much for all the hard work, last night and today morning, the car back together, thank you.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/FRACOL01_43_20250518_150026.mp3
63,2025-05-18 13:10:13, What was he doing?,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/GEORUS01_63_20250518_151005.mp3
63,2025-05-18 13:15:49, I'm going to show how I'm going to make it to the tag in the first round.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/GEORUS01_63_20250518_151536.mp3
63,2025-05-18 13:16:52, Just driving on the grass.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/GEORUS01_63_20250518_151644.mp3
81,2025-05-18 13:19:54," I think Plan A is very ambitious at the moment. Copy, Oscar.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/OSCPIA01_81_20250518_151933.mp3
22,2025-05-18 13:26:32," So car behind is Piastri, 1.5 seconds, he is Max's race, so do your best to hold him",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/YUKTSU01_22_20250518_152557.mp3
4,2025-05-18 13:30:36, The key for us is free air and going long.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LANNOR01_4_20250518_153031.mp3
55,2025-05-18 13:32:10," Alex, 21.8, 21.8. It's clearly a one-stop there. If Alex is there, it's 21.8.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CARSAI01_55_20250518_153130.mp3
44,2025-05-18 13:32:40, There is no gap right now and we are not ruling out plan C. Understood.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LEWHAM01_44_20250518_153216.mp3
63,2025-05-18 13:33:41," It's like the rear track rod or something, just the rear, the movement, even the straight",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/GEORUS01_63_20250518_153327.mp3
23,2025-05-18 13:40:19, you're doing a great job you're pulling away from how's your anal on so,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/ALEALB01_23_20250518_153949.mp3
16,2025-05-18 13:43:53," Unbelievable, this is unbelievable, all the time, I get **** with this virtual safety car, safety car.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CHALEC01_16_20250518_154337.mp3
55,2025-05-18 13:50:00," Okay, this guy, touch me, light in, put it in.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CARSAI01_55_20250518_154954.mp3
44,2025-05-18 13:55:08," That'd be five on the road, awesome. Yeah, I have to use a lot of tasks to get through those two.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LEWHAM01_44_20250518_155440.mp3
14,2025-05-18 14:02:46, It's going to be a torture. It's like the luckiest driver in the world.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/FERALO01_14_20250518_160223.mp3
10,2025-05-18 14:03:47, Thanks for that.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/PIEGAS01_10_20250518_160325.mp3
12,2025-05-18 14:06:20," I got an issue. Okay, copy.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/ANDANT01_12_20250518_160551.mp3
16,2025-05-18 14:08:22," We need to stay out. We don't have a tire that can do to the end. The soft will be better than that. It's 17 laps, Charles. 17 laps to the end. How many laps have my medium? Your medium has 11 laps.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CHALEC01_16_20250518_160740.mp3
16,2025-05-18 14:13:28," I mean, I'm looking to see if we can finish at the point and I'm not being pessimistic. These fires are going to be incredibly difficult to restart.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CHALEC01_16_20250518_161316.mp3
4,2025-05-18 14:14:29," I see Oscar's tires are pretty dead, if you want any chance of trying to go for the lead then I guess we know what to do. I'm not asking to let me die, I'm just saying to not make it too hard for one another, that's all. If we fight then we could go backwards.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LANNOR01_4_20250518_161359.mp3
23,2025-05-18 14:31:18, That wasn't fast.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/ALEALB01_23_20250518_163053.mp3
16,2025-05-18 14:34:52, that's how racing is now when you can't pass you need to let pass this is a joke what did i do wrong,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/CHALEC01_16_20250518_163429.mp3
1,2025-05-18 14:36:55," Grande Max, nice show mate, nice show. Wow Max, 400 races and you've won it, brilliant, brilliant drive, brilliant weekend, well done mate, you really, really dominated that race. Yeah, exactly that, brilliant weekend, that was a fantastic execution all around, thank you very much and yeah, not bad, 1 hour 400 race. Well done, everyone. That was a very strong Saturday and Sunday, so well deserved that. Great job.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/MAXVER01_1_20250518_163604.mp3
4,2025-05-18 14:37:35," Yeah, well done. Good race. Clearly just not the pace to win today. So let's keep pushing guys. I know it's been a lovely start, but not quick enough to win today. So let's keep it up. Keep working hard. Thank you very much. My pleasure, mate. Long, long way to go. Let's just have fun doing it. All right.",https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LANNOR01_4_20250518_163715.mp3
44,2025-05-18 14:37:35, But it's supposed to be that also them.,https://livetiming.formula1.com/static/2025/2025-05-18_Emilia_Romagna_Grand_Prix/2025-05-18_Race/TeamRadio/LEWHAM01_44_20250518_163811.mp3
