,Time,transcription,url
10,2025-05-25 13:15:43," Don't break, don't break, don't break, don't break, don't break, don't break, don't break,",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/PIEGAS01_10_20250525_151525.mp3
22,2025-05-25 13:17:45, Is he idiot? What is he doing?,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/YUKTSU01_22_20250525_151719.mp3
1,2025-05-25 13:18:46," Hey, mate, you would have taken my front wing off, it didn't leave the race, what is that? You would have crashed it. Mate, I had the right to be there. Press it again, press it again, mate. Okay.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/MAXVER01_1_20250525_151820.mp3
14,2025-05-25 13:20:49, Do you think the car in front respected all the yellows? We are discussing. We had noticed that.,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/FERALO01_14_20250525_152034.mp3
4,2025-05-25 13:22:20," Alana, we see abrasion on the front left, but similar across all cars we care about.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/LANNOR01_4_20250525_152152.mp3
16,2025-05-25 13:24:23, what do you want me to do you want me to keep pushing we save we let him go plan b stay with norris okay,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/CHALEC01_16_20250525_152356.mp3
44,2025-05-25 13:26:25," What do you need from me? And for now, this is our race.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/LEWHAM01_44_20250525_152615.mp3
14,2025-05-25 13:27:26," Push now Fernando, I know I haven't given you much info, but just keep pushing now we're going to cover Hamilton. I can't push now!",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/FERALO01_14_20250525_152703.mp3
81,2025-05-25 13:30:31," Oscar, box to overtake Leclerc, box to overtake Leclerc.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/OSCPIA01_81_20250525_153018.mp3
81,2025-05-25 13:31:01, good pace on the outlook we're trying to undercut,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/OSCPIA01_81_20250525_153056.mp3
81,2025-05-25 13:35:07," So now it's third, because that didn't work very well. So plan is keep the safety car gap on Hamilton, go with Leclerc if you can.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/OSCPIA01_81_20250525_153435.mp3
63,2025-05-25 13:38:09, Sainz is backing up yeah if he was just given a target of 19-0 so he's going to start backing you up now I suspect maybe you give him a surprise moment George,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/GEORUS01_63_20250525_153741.mp3
4,2025-05-25 13:42:44, Why are there namely flags? We'll keep asking.,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/LANNOR01_4_20250525_154218.mp3
16,2025-05-25 13:44:48," Oh, this is a joke.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/CHALEC01_16_20250525_154434.mp3
1,2025-05-25 13:46:19, I'm a chef for a like here in Monaco. Got me in 1972. I'm just a Max.,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/MAXVER01_1_20250525_154600.mp3
14,2025-05-25 13:53:27," Yeah, retire the car, smoke.",https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/FERALO01_14_20250525_155300.mp3
4,2025-05-25 13:54:30, the gap to the clerk is 5.0 if we can use some more pace we should please,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/LANNOR01_4_20250525_155418.mp3
30,2025-05-25 14:01:36, Car behind is now signed. Why are they doing that? To give themselves a pit stop.,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/LIALAW01_30_20250525_160126.mp3
63,2025-05-25 14:05:42, he's driving dangerously slow slamming on the brakes at all all areas copy that,https://livetiming.formula1.com/static/2025/2025-05-25_Monaco_Grand_Prix/2025-05-25_Race/TeamRadio/GEORUS01_63_20250525_160515.mp3
