,Time,transcription,url
4,2025-06-29 12:15:34, Subtitles by the Amara.org community,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_141517.mp3
43,2025-06-29 12:57:32," Happy birthday, Ryan. I didn't know. Happy birthday. Is it today or one yesterday?",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/FRACOL01_43_20250629_145720.mp3
55,2025-06-29 13:01:05," Sorry, stuck in first gear.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/CARSAI01_55_20250629_150039.mp3
55,2025-06-29 13:01:38," Something is stopping the car from moving forward, the car is stuck. Copy, I'm just checking what we can do.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/CARSAI01_55_20250629_150112.mp3
55,2025-06-29 13:04:09, I feel like the car is still breaking.,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/CARSAI01_55_20250629_150354.mp3
55,2025-06-29 13:07:14," Thank you very much, Carlos. Thank you.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/CARSAI01_55_20250629_150658.mp3
14,2025-06-29 13:10:49," And I cannot tell you, the temperature of the seat is maybe, I don't know, 200 degrees. Copy that.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/FERALO01_14_20250629_151014.mp3
1,2025-06-29 13:21:01, Thank you.,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/MAXVER01_1_20250629_152033.mp3
1,2025-06-29 13:22:02, Thank you. I got hit like crazy. F***ing idiots. Thank you.,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/MAXVER01_1_20250629_152034.mp3
12,2025-06-29 13:22:02," Ah, sorry about that, locked the rear, sorry.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/ANDANT01_12_20250629_152147.mp3
63,2025-06-29 13:25:07," Hello, let's just close the door on the break-in.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/GEORUS01_63_20250629_152449.mp3
81,2025-06-29 13:27:42, Your call on the racing situation.,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_152718.mp3
16,2025-06-29 13:38:25," We need Laika, all corners, Charles, every lap. That's what I am doing, Brian. That is what I am doing.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/CHALEC01_16_20250629_153756.mp3
4,2025-06-29 13:39:27," Lando, opportunity, make turn six apex, it makes it harder for the other car.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_153904.mp3
4,2025-06-29 13:42:01, the gap to portoletto is 20.3 so we're happy to pit if we're going to get passed by oscar we would pit before him if not we just keep going,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_154143.mp3
81,2025-06-29 13:44:35, let's see your pace in free air now yeah okay i have a flat spot i have a flat spot understood let's see how the pace is,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_154400.mp3
81,2025-06-29 13:45:06," That spot in data looks okay to continue. Let me know. It's not pleasant, but it's okay.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_154451.mp3
81,2025-06-29 13:46:37, ask a question better to be four seconds behind lander with more delta or one and a half behind four with delta,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_154610.mp3
4,2025-06-29 13:47:39, And they're doing a good job. Oscar's pace hasn't really picked up.,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_154710.mp3
5,2025-06-29 13:50:12," Is he letting me buy or what? Yes, but you need to get into DRS.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/GABBOR01_5_20250629_154945.mp3
81,2025-06-29 13:52:15," Oscar, feedback from the pit wall. The manoeuvre in turn four with the front lock-up was too marginal. We can't do that again.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_155157.mp3
10,2025-06-29 13:55:19," I have no grip, f***ing crazy, I'm about to spin every corner.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/PIEGAS01_10_20250629_155446.mp3
10,2025-06-29 14:01:59," I don't know how much longer I can stay on track. Yeah, understood, mate. We're working on it. Okay, stick with it, please.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/PIEGAS01_10_20250629_160119.mp3
81,2025-06-29 14:05:34," Most of those blue flags are doing mid to high 110s, so there's opportunity approaching.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_160448.mp3
31,2025-06-29 14:08:07," People are starting to pit, we're doing our race, your pace is still good. Bear in mind there's always a risk passing everyone, like you saw. Understood.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/ESTOCO01_31_20250629_160751.mp3
4,2025-06-29 14:10:10," Is he just quicker everywhere now, or...? He's mainly quicker in high speed, or you see with his loss of traffic.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_160938.mp3
4,2025-06-29 14:10:41," And our goal here is obvious, we just keep our scat out of our DRS.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_161030.mp3
4,2025-06-29 14:17:22," So Lando, now that Oscar's got free air, his pace and high speed has recovered a bit. Obviously, as we get close to Hajar, it's going to get tough again. Still doing a good job.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_161658.mp3
44,2025-06-29 14:19:27," Is my pace really bad? Because the tyres are fine. And we box now for fastest race, optimal race. Yep, my tyres are okay, can I extend? How many more laps left? And box through the box, 20 laps. I don't want to stop! 20 laps left. And box, box.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LEWHAM01_44_20250629_161845.mp3
81,2025-06-29 14:21:29, you'll get some clearer air let's use the place we should be in at the end of this map,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_162116.mp3
4,2025-06-29 14:31:44," If you need some pace, please help. And the main pace of things right now is high speed. Hopefully linked just to traffic.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_163108.mp3
4,2025-06-29 14:34:47," Orlando, just for your awareness, we have a bit of damage on our front wing, which is making the balance change a bit. Nothing we can do, just for your awareness.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_163424.mp3
4,2025-06-29 14:38:22, and Lando you need corner discipline turn one turn three pacing high speed is good,https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_163754.mp3
4,2025-06-29 14:43:29," Well done, mate. Well done. Great job. Yeah, well done, everyone. Beautiful one, too. That was great-ish. Thanks, everyone. Amazing work. Just keep it up. I agree, mate. Follow the process.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/LANNOR01_4_20250629_164307.mp3
81,2025-06-29 14:44:02," Uh, yeah, sorry for the, uh, moving to the floor, my bad.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/OSCPIA01_81_20250629_164348.mp3
5,2025-06-29 14:48:12," The first points of Formula 1 mate, congratulations, well deserved. I'm sorry man, I couldn't get him. It's okay, he will pay the dinner. Gabi, what can I say, an outstanding performance all weekend, first points, well deserved, amazing race and we were in the hunt, we've got a racing car, well done mate. Thank you mate, thanks everyone for the weekend and let's start from here, first points, thanks Thanks, guys.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/GABBOR01_5_20250629_170433.mp3
27,2025-06-29 14:48:12," Oh, yeah, boy, yes, yes, double points, baby, double points, let's go, Saber, whoo, there you go, it's Jonathan, it was great to see that look in your eye on the grid again today, fantastic job, well done. Thanks, Jonathan, I actually faked that look, but it's good to know it's working on you. Thank you.",https://livetiming.formula1.com/static/2025/2025-06-29_Austrian_Grand_Prix/2025-06-29_Race/TeamRadio/NICHUL01_27_20250629_170515.mp3
