,Time,transcription,url
4,2025-07-06 13:24:06," Yeah, they're okay, definitely it's just pretty slippery.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LANNOR01_4_20250706_142344.mp3
31,2025-07-06 13:24:36," So, we're expecting heavier rain in five minutes.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/ESTOCO01_31_20250706_142422.mp3
14,2025-07-06 13:58:53," What's the latest forecast? We're expecting around lap 15 to 17, potentially heavy rain, so",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/FERALO01_14_20250706_145822.mp3
81,2025-07-06 14:03:32, The last sector is just too wet for slicks.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/OSCPIA01_81_20250706_150313.mp3
30,2025-07-06 14:08:09," Who the ho is that? I'm out. Who the ho is that? Whoever this arse was next to me, dude, he just drove straight into the side of me.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LIALAW01_30_20250706_150733.mp3
31,2025-07-06 14:09:13," I think the whole track is good for slicks, apart from the last two corners.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/ESTOCO01_31_20250706_150835.mp3
44,2025-07-06 14:11:14," Sorry, I didn't expect it in 10 laps.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LEWHAM01_44_20250706_151040.mp3
5,2025-07-06 14:12:08," Okay Javi, are you okay? Yeah man, sorry. It's okay, no worries. It was very tricky out there.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/GABBOR01_5_20250706_151154.mp3
63,2025-07-06 14:14:20," I'm much quicker here, so invert positions, we'll invert positions, we will do it now.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/GEORUS01_63_20250706_151409.mp3
14,2025-07-06 14:16:22, The light rain around 6 laps and then 4 laps after that there will be heavier rain.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/FERALO01_14_20250706_151559.mp3
1,2025-07-06 14:23:31," Look, if it really starts to hit hard, we need to watch really bad interest.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/MAXVER01_1_20250706_152259.mp3
81,2025-07-06 14:27:06, Thank you.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/OSCPIA01_81_20250706_152657.mp3
4,2025-07-06 14:27:06, We expect at least 10 minutes of rain.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LANNOR01_4_20250706_152702.mp3
81,2025-07-06 14:28:08, You can expect the rain intensity to increase in five minutes.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/OSCPIA01_81_20250706_152751.mp3
44,2025-07-06 14:28:42, Thank you.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LEWHAM01_44_20250706_152820.mp3
44,2025-07-06 14:28:42," Yeah, that's Daphne Wetz right now.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/LEWHAM01_44_20250706_152822.mp3
81,2025-07-06 14:29:46, Thank you.,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/OSCPIA01_81_20250706_152915.mp3
16,2025-07-06 14:31:17," There's water that came into my visor, I couldn't see anything, like a huge flush of water.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/CHALEC01_16_20250706_153046.mp3
14,2025-07-06 14:34:53," Are all the people that we lost places, they have worse tyres or we just lose places for fun? So Ocon in P17 is the only one on significantly, in P7 is the only one on significantly older tyre. Crazy how you never get it right with me.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/FERALO01_14_20250706_153432.mp3
6,2025-07-06 14:43:06," Yeah, I didn't see him. I mean, he appeared out of nowhere, man. Oh, my God.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/ISAHAD01_6_20250706_154246.mp3
81,2025-07-06 14:46:41," Yeah, this puddle in turn two is a problem. Bernd has got his work cut out for him even in the safety car, so it's not very nice in an F1 car. Yeah, I've got that.",https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/OSCPIA01_81_20250706_154609.mp3
31,2025-07-06 14:48:44, yeah that was clever from Mercedes hot tires now to restart yeah copy,https://livetiming.formula1.com/static/2025/2025-07-06_British_Grand_Prix/2025-07-06_Race/TeamRadio/ESTOCO01_31_20250706_154816.mp3
