,Time,transcription,url
81,2025-07-27 12:23:26," Oscar, how are the conditions? It's a bit patchy, some places are completely dry, others feel a bit damp. Turn 6 was quite wet and I would struggle on slicks.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/OSCPIA01_81_20250727_142240.mp3
44,2025-07-27 12:31:38," This level of rain will stay for 35, 40 minutes. Okay.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LEWHAM01_44_20250727_143121.mp3
4,2025-07-27 13:02:49," Lando, how are the conditions up the hill? Yeah, I mean, not ideal for the time being. I can't see a lot behind those safety cars, so I can't imagine what it's like for everyone",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LANNOR01_4_20250727_150211.mp3
4,2025-07-27 13:07:26," Lando, question, is it visibility or standing water? Visibility. Standing water is not too bad.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LANNOR01_4_20250727_150647.mp3
23,2025-07-27 13:10:00, Expecting heavy rain in 9 minutes.,https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/ALEALB01_23_20250727_150938.mp3
12,2025-07-27 14:15:53," Okay Kimmy, so at the moment the information we have is it will be a minimum of two laps behind the safety car, two laps behind the safety car, and then they'll call it.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/ANDANT01_12_20250727_161531.mp3
81,2025-07-27 14:22:03," Oscar, how is the visibility? Quite a lot better than before, through Eau Rouge. After Eau Rouge it's still quite bad. Yeah, the straight's still pretty bad.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/OSCPIA01_81_20250727_162134.mp3
16,2025-07-27 14:24:05," I remind you, if you need, you can extend to 20 car lengths.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/CHALEC01_16_20250727_162336.mp3
44,2025-07-27 14:25:06, It's drying up pretty quick. Copy that.,https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LEWHAM01_44_20250727_162451.mp3
4,2025-07-27 14:26:09," The right side of the grid is still a lot wetter than the left, yeah it's not side to side equal. Yeah that's clear on the video.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LANNOR01_4_20250727_162549.mp3
81,2025-07-27 14:42:28, it feels like it might not be too far off already understood just a straight to turn five is wet,https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/OSCPIA01_81_20250727_164216.mp3
16,2025-07-27 14:45:02," I don't know if it's the top hole, but my God, my toes are gone.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/CHALEC01_16_20250727_164446.mp3
4,2025-07-27 14:50:09, What about a hard tie? We try to go to the end. What about a hard? Would you take it now? I need an answer quick.,https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LANNOR01_4_20250727_164956.mp3
4,2025-07-27 14:52:14," Don't hurry here, just keep on track.",https://livetiming.formula1.com/static/2025/2025-07-27_Belgian_Grand_Prix/2025-07-27_Race/TeamRadio/LANNOR01_4_20250727_165145.mp3
