,Time,transcription,url
10,2025-08-03 12:13:31, Thank you.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/PIEGAS01_10_20250803_141320.mp3
1,2025-08-03 13:08:41, Let's get through these ASAP.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/MAXVER01_1_20250803_150810.mp3
6,2025-08-03 13:11:44," ...made my hand his... I took all the gravel. Copy. The gravel, man.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/ISAHAD01_6_20250803_151123.mp3
81,2025-08-03 13:14:17," Oskar, some competitors are talking about a one-stop, do you think a one-stop may be possible? I mean, are tyres still okay for now? Man, it's difficult to know with this many laps to go. Yeah, understood.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_151357.mp3
16,2025-08-03 13:17:23, What's going on with these cups?,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/CHALEC01_16_20250803_151651.mp3
4,2025-08-03 13:17:53, We need to get past Russell.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_151729.mp3
27,2025-08-03 13:19:54," Ok Nico, we have a 5 second time penalty, we're moving before the start signal, 5 second time penalty. Really? I'm not aware of that, didn't feel anything from my side.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/NICHUL01_27_20250803_151918.mp3
4,2025-08-03 13:25:00," And Lando, we still think the wide line in turn two is better. My problem is not turn two, it's the last three corners.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_152450.mp3
4,2025-08-03 13:28:04," And Lando, we're thinking plan A minus five, plan A minus five. Yeah, I confirm, my tires are gone.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_152726.mp3
81,2025-08-03 13:28:04, Box to overtake Leclerc. Box to overtake Leclerc.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_152750.mp3
81,2025-08-03 13:30:37, and a clerk may struggle on the outlap with warm-up.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_153002.mp3
4,2025-08-03 13:34:42, so this is either plan a look to extend or plan d just keep talking to us about the tires,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_153413.mp3
1,2025-08-03 13:36:16," Ah, guys, it's really terrible, this idea.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/MAXVER01_1_20250803_153602.mp3
81,2025-08-03 13:37:47," Do you think a one-stop will work? Difficult, Oscar.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_153718.mp3
44,2025-08-03 13:39:19, Bit of a sit-jack behind these guys.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LEWHAM01_44_20250803_153847.mp3
16,2025-08-03 13:40:52," Yeah, I can feel what we discussed before the race. We need to discuss those things before doing those.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/CHALEC01_16_20250803_154012.mp3
4,2025-08-03 13:41:23," So, Lando, we're considering the one-stop. It would be 40 laps on a hard tyre. Keen for it? Yeah, why not?",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_154052.mp3
16,2025-08-03 13:41:53, We are going to lose this race with these things. We are losing so much time.,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/CHALEC01_16_20250803_154132.mp3
4,2025-08-03 13:42:57," Okay, Lando, we're going to try it, so let's eke out a couple of laps. When the lap time drops, we're coming in. If Lurk catches us, we're coming in. He's 5.6 behind. At this pace, Leclerc catches us in three laps.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_154220.mp3
81,2025-08-03 13:51:09," How's the tyre Oscar, do you think you could get to the end on another hard from here?",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_155046.mp3
63,2025-08-03 13:54:11," These are still really good lap times George, just keep banging a bit.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/GEORUS01_63_20250803_155351.mp3
4,2025-08-03 13:54:41," Rando, just keep the focus. Don't want those mistakes.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_155432.mp3
81,2025-08-03 13:57:15," Lando has done 6 laps of hard, would you prioritise undercutting Leclerc or tyre delta to Lando? Do you still think gaining Lando is realistic than doing that?",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_155638.mp3
81,2025-08-03 13:58:17, there's box to overtake this lap box to overtake the clock,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_155749.mp3
81,2025-08-03 13:59:18," Okay, you get some clear air, there's six seconds clear air to Gasly, let's use the pace and this gives you what you want with Lando.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_155848.mp3
1,2025-08-03 14:00:51, okay max so portoletto and lawson have now pitted we are considering leaving you out here okay well it's not gonna be easy no i know we're monitoring it that might be our best opportunity but like i said we are monitoring it,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/MAXVER01_1_20250803_160018.mp3
81,2025-08-03 14:04:56," So Oscar, Leclerc is going to be four or five seconds ahead of our pit window. We suggest to box this lap, to push and box this lap. I don't really care about Leclerc, I just want the best chance to try and beat Leclerc, so that's an important thing at the moment.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_160428.mp3
4,2025-08-03 14:06:27," Let's do everything we can for blue flags please, let's be a bit more proactive in it.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_160618.mp3
87,2025-08-03 14:10:02," Guys, this car is broken, can I go for another grip or two? Hey Oli here, you have significant rear damage, you have 1% more air balance than planned. Great.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OLIBEA01_87_20250803_160936.mp3
4,2025-08-03 14:12:03," There's going to be a lot of traffic to go through, we're going to have to look after the front left.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_161129.mp3
16,2025-08-03 14:15:38," This is so incredibly frustrating. We've lost all competitiveness. You just have to listen to me, I will have found a different way of managing those issues. Now it's just un-drivable, un-drivable. It's a miracle if we finish on the podium.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/CHALEC01_16_20250803_161457.mp3
4,2025-08-03 14:17:40, if there's a safety car we would take it for a hard tire you'd only lose out to oscar,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_161702.mp3
63,2025-08-03 14:26:52, that was moving and the braking i committed and he moved while braking it's clearly not allowed keep cool mate you you'll get him,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/GEORUS01_63_20250803_162625.mp3
63,2025-08-03 14:28:25," Flash. Flash penalty. F***ing time, they don't mean you can play again.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/GEORUS01_63_20250803_162757.mp3
4,2025-08-03 14:28:55," Yeah, I just, yeah, traffic's going to ruin my race.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_162828.mp3
81,2025-08-03 14:37:07, remember how we go racing same reminder oscar,https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/OSCPIA01_81_20250803_163648.mp3
4,2025-08-03 14:39:39," Yes, yes, yes. Mega job, mate. Mega job. Lovely. Good racing. Good strategy. Good call. Well thought. Thank you guys.",https://livetiming.formula1.com/static/2025/2025-08-03_Hungarian_Grand_Prix/2025-08-03_Race/TeamRadio/LANNOR01_4_20250803_163917.mp3
