,Time,transcription,url
81,2025-08-31 12:25:44," I have like a whistling noise coming from somewhere, but I don't know if it's a mirror or my helmet. Understood. We'll check that on the grid.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/OSCPIA01_81_20250831_142509.mp3
81,2025-08-31 13:07:09," We expect the last one rain for 8 minutes around lap 7, may or may not require an inter",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/OSCPIA01_81_20250831_150649.mp3
63,2025-08-31 13:11:15," So, we're expecting this rain to be light initially, but will last 7 to 10 laps.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/GEORUS01_63_20250831_151050.mp3
4,2025-08-31 13:14:17, Nice job. Let's go get Oscar.,https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_151412.mp3
87,2025-08-31 13:18:53," I'm a bit scared about water letters on the way, it's nappy.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/OLIBEA01_87_20250831_151819.mp3
4,2025-08-31 13:27:33," I don't know how the tires, how's the pace? Yeah, it's starting to struggle a little bit more now with the rears.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_152724.mp3
4,2025-08-31 13:29:05," Lando, can you get closer to the car I had? I can give you a touch.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_152858.mp3
44,2025-08-31 13:31:09, Definitely have to undercut these guys. It's hard to get closer. Out on eight.,https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LEWHAM01_44_20250831_153049.mp3
44,2025-08-31 13:34:12," Are you okay? Yes, I'm sorry, guys.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LEWHAM01_44_20250831_153354.mp3
4,2025-08-31 13:35:15," Is, uh, is he all right? Front check? Yep, all good.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_153447.mp3
4,2025-08-31 13:37:17," How did Hamilton crash? Did he go on the green and the green was slippery because of the rain? Yes, it looks like exactly that. He went wide of the white line onto the green, slippery at the wall. Yeah, but then you should tell me earlier. Like this is a race ending bit of information, so... Yep, okay, cool.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_153649.mp3
55,2025-08-31 13:41:53, He's just so stupid. Oh my god. This guy is always the same guy.,https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/CARSAI01_55_20250831_154136.mp3
63,2025-08-31 13:43:56," Wave and end the break, yep.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/GEORUS01_63_20250831_154323.mp3
4,2025-08-31 13:45:28, we would try and go to the end on this our decision will be if to add a stop but the goal should be to get to the end,https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_154510.mp3
16,2025-08-31 13:48:02," Yeah, at 11 o'clock, he doesn't have the space, so he cannot come play.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/CHALEC01_16_20250831_154744.mp3
63,2025-08-31 13:48:33," I mean, he was playing on the track, surely.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/GEORUS01_63_20250831_154802.mp3
4,2025-08-31 13:50:37, with the field spread it's unlikely there'll be opportunities our best bet is just go get it straight out race,https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/LANNOR01_4_20250831_155024.mp3
14,2025-08-31 13:53:10," Lando, how is balance on the hardpipe? I don't know. You put me always in traffic. I don't know.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/FERALO01_14_20250831_155252.mp3
14,2025-08-31 13:54:13," We'll just undercut all these people, I don't know, do something. Yeah, Philando, don't worry, we are discussing.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/FERALO01_14_20250831_155341.mp3
63,2025-08-31 13:57:16," So, George, with this damage on the car, I think the best opportunity for the team is invert cars at turn one. Sorry? We don't think we'll be able to keep up with the clerk here, so. Well, yeah, well, it's not worth being within DRS, but.",https://livetiming.formula1.com/static/2025/2025-08-31_Dutch_Grand_Prix/2025-08-31_Race/TeamRadio/GEORUS01_63_20250831_155649.mp3
