,Time,transcription,url
1,2025-09-07 12:13:58, Thanks for watching!,https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/MAXVER01_1_20250907_141328.mp3
1,2025-09-07 12:13:58, Thanks for watching!,https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/MAXVER01_1_20250907_141343.mp3
44,2025-09-07 12:14:28, Thank you.,https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/LEWHAM01_44_20250907_141357.mp3
27,2025-09-07 13:03:04," Oh, man. You serious?",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/NICHUL01_27_20250907_150233.mp3
4,2025-09-07 13:05:07," Yeah, what the... what's this idiot doing? Come on. He's put me in the grass and he's just got the call.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/LANNOR01_4_20250907_150428.mp3
81,2025-09-07 13:06:39," I have my clerks all over the place on the braking, I have to avoid them.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/OSCPIA01_81_20250907_150605.mp3
81,2025-09-07 13:09:13," He needs to give that back, he went to defend and went long. Yeah, we saw, we saw.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/OSCPIA01_81_20250907_150837.mp3
1,2025-09-07 13:10:44," You let the brakes go, mate.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/MAXVER01_1_20250907_151035.mp3
31,2025-09-07 13:20:26," We have a five second penalty for forcing stroll of the truck in lap two. Truck gets narrower there, so there was no space, that's it. Yeah, I understand, nothing we can do.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/ESTOCO01_31_20250907_151950.mp3
16,2025-09-07 13:25:02," This is good, nice and clean.",https://livetiming.formula1.com/static/2025/2025-09-07_Italian_Grand_Prix/2025-09-07_Race/TeamRadio/CHALEC01_16_20250907_152442.mp3
