,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,RIC,5.0,MEDIUM,5,15.0,19.0,1.0,0 days 00:01:06.282000,1.0,0 days 00:01:06.282000,fp1,1033.0,0,1,1,0,2020,conventional,0 days 00:01:04.556000,0 days 00:01:04.023000,0 days 00:01:04.239000
1,RIC,6.0,MEDIUM,5,20.0,24.0,1.0,0 days 00:01:05.860000,2.0,0 days 00:01:05.945000,fp1,1080.5,0,0,1,0,2020,conventional,0 days 00:01:04.556000,0 days 00:01:04.023000,0 days 00:01:04.239000
2,RIC,7.0,MEDIUM,4,25.0,28.0,1.0,0 days 00:01:06.101000,2.0,0 days 00:01:06.743500,fp1,1094.5,0,0,1,0,2020,conventional,0 days 00:01:04.556000,0 days 00:01:04.023000,0 days 00:01:04.239000
3,NOR,2.0,HARD,6,2.0,7.0,1.0,0 days 00:01:08.206000,3.0,0 days 00:01:08.513000,fp1,1080.0,1,0,0,1,2020,conventional,0 days 00:01:04.606000,0 days 00:01:03.819000,0 days 00:01:03.626000
4,NOR,5.0,SOFT,5,20.0,24.0,1.0,0 days 00:01:05.621000,2.0,0 days 00:01:05.630000,fp1,1022.0,0,1,1,0,2020,conventional,0 days 00:01:04.606000,0 days 00:01:03.819000,0 days 00:01:03.626000
5,NOR,7.0,SOFT,3,27.0,29.0,1.0,0 days 00:01:06.208000,1.0,0 days 00:01:06.208000,fp1,1059.5,0,0,1,0,2020,conventional,0 days 00:01:04.606000,0 days 00:01:03.819000,0 days 00:01:03.626000
6,NOR,8.0,SOFT,12,30.0,41.0,1.0,0 days 00:01:05.038000,1.0,0 days 00:01:05.038000,fp1,1078.0,0,0,1,0,2020,conventional,0 days 00:01:04.606000,0 days 00:01:03.819000,0 days 00:01:03.626000
7,VET,5.0,MEDIUM,10,14.0,23.0,1.0,0 days 00:01:06.077000,4.0,0 days 00:01:06.115500,fp1,1043.0,0,0,1,0,2020,conventional,0 days 00:01:04.554000,0 days 00:01:04.206000,
8,VET,7.0,MEDIUM,8,25.0,32.0,1.0,0 days 00:01:09.106000,4.0,0 days 00:01:09.359000,fp1,1077.0,1,0,0,1,2020,conventional,0 days 00:01:04.554000,0 days 00:01:04.206000,
9,RAI,5.0,MEDIUM,6,15.0,20.0,1.0,0 days 00:01:06.365000,2.0,0 days 00:01:06.500000,fp1,1029.0,0,1,1,0,2020,conventional,0 days 00:01:05.224000,,
10,GRO,2.0,INTERMEDIATE,2,2.0,3.0,1.0,0 days 00:01:17.626000,1.0,0 days 00:01:17.626000,fp1,996.5,0,1,0,1,2020,conventional,0 days 00:01:05.094000,0 days 00:01:04.691000,
11,GAS,4.0,MEDIUM,8,15.0,22.0,1.0,0 days 00:01:06.404000,3.0,0 days 00:01:06.632000,fp1,1044.5,0,0,1,0,2020,conventional,0 days 00:01:04.603000,0 days 00:01:04.305000,
12,LEC,5.0,MEDIUM,10,13.0,22.0,1.0,0 days 00:01:05.924000,5.0,0 days 00:01:06.142000,fp1,1096.5,0,0,1,0,2020,conventional,0 days 00:01:04.500000,0 days 00:01:04.041000,0 days 00:01:03.923000
13,LEC,7.0,MEDIUM,7,24.0,30.0,1.0,0 days 00:01:08.653000,5.0,0 days 00:01:09.323000,fp1,1079.0,0,0,0,1,2020,conventional,0 days 00:01:04.500000,0 days 00:01:04.041000,0 days 00:01:03.923000
