Q1_Red Bull Racing,Q1_Alpine,Q2_Alpine,Q1_Mercedes,Q1_Aston Martin,Q2_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Williams,Q2_Williams,Q3_Williams,Q1_Kick Sauber,Q1_McLaren,Q2_McLaren,Q3_McLaren
0.072,-0.041,0.088,-0.111,0.06,-0.002,0.139,-0.014,0.075,-0.052,0.059,0.05,-0.089,-0.081,0.114,-0.001,-0.064,0.002
0.016,-0.019,-0.056,-0.008,0.057,0.015,-0.002,0.001,0.029,0.012,0.041,0.038,0.106,0.039,-0.035,-0.083,0.005,0.039
0.324,-0.131,0.04,-0.292,-0.016,0.108,0.085,0.06,0.168,-0.318,-0.078,-0.148,-0.205,-0.016,-0.071,-0.21,-0.035,-0.122
-0.056,-0.011,-0.089,0.203,0.038,-0.062,-0.136,-0.019,-0.117,0.269,0.086,0.075,0.102,0.113,-0.047,0.072,0.046,0.119
0.078,0.026,-0.034,0.058,0.004,-0.076,-0.061,0.004,-0.061,0.06,-0.035,0.035,0.112,0.046,-0.12,-0.013,0.004,0.044
0.082,-0.026,0.041,-0.049,-0.029,-0.048,0.008,0.015,0.044,-0.025,0.043,0.01,-0.018,0.005,-0.018,0.014,-0.014,-0.03
0.077,-0.011,0.045,0.008,0.026,-0.042,0.006,0.038,0.011,-0.008,0.036,0.021,0.027,0.014,0.002,-0.031,0.003,-0.014
0.051,0.008,0.02,0.012,0.038,-0.02,0.004,0.02,0.008,0.01,-0.013,-0.005,0.023,0.006,0.014,-0.013,0.002,0.003
0.005,-0.008,-0.064,-0.162,-0.027,0.039,-0.022,-0.046,0.01,0.039,-0.117,-0.004,-0.01,-0.013,0.113,0.074,0.096,-0.058
0.015,-0.005,0.011,-0.051,0.009,-0.019,0.02,0.035,0.015,0.042,0.031,0.025,0.002,0.035,-0.049,0.026,0.031,-0.021
0.241,-0.005,0.534,-0.128,-0.014,-0.111,0.123,-0.067,0.127,0.092,0.063,0.153,-0.033,-0.077,0.047,0.25,-0.006,-0.12
0.004,0.063,-0.117,-0.005,0.008,0.112,-0.038,0.123,-0.082,-0.072,0.013,-0.006,0.053,0.107,-0.011,0.122,0.146,0.152
0.231,0.173,0.339,-0.151,0.053,0.316,-0.16,-0.001,0.033,0.081,-0.054,-0.08,-0.173,-0.038,0.21,0.171,0.076,-0.043
-0.044,-0.002,0.027,0.084,-0.005,-0.09,0.052,0.006,-0.107,-0.017,0.051,0.002,0.093,0.091,-0.117,-0.186,-0.181,0.101
-0.02,-0.024,-0.034,0.038,-0.121,-0.09,0.166,-0.063,0.065,0.016,0.04,-0.051,-0.076,0.094,-0.095,-0.042,-0.056,0.032
