Q1_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q2_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Racing Bulls,Q2_Racing Bulls,Q3_Racing Bulls,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
0.046,0.019,-0.024,-0.028,0.012,-0.126,0.047,-0.027,-0.009,0.03,-0.081,0.048,0.043,0.064,-0.021,-0.071,0.139,0.14,0.145,0.063
0.233,0.073,0.083,-0.019,-0.068,-0.205,-0.001,-0.002,-0.036,-0.01,-0.164,0.015,0.162,-0.068,-0.162,-0.165,-0.033,0.18,0.305,-0.042
0.198,-0.037,0.099,-0.038,-0.035,-0.283,-0.057,0.038,0.109,0.084,-0.064,-0.165,0.043,0.228,-0.02,-0.101,-0.02,0.182,-0.01,-0.1
-0.089,0.232,-0.077,0.113,0.004,0.418,0.132,-0.13,-0.02,-0.079,0.225,0.085,-0.237,-0.001,0.211,0.309,0.091,-0.233,-0.164,0.039
-0.041,-0.015,-0.024,-0.003,0.001,0.075,0.018,-0.082,0.003,-0.005,0.028,0.005,-0.082,-0.017,0.046,0.105,0.006,0.001,-0.02,0.024
-0.051,0.094,0.096,0.059,0.017,-0.365,0.055,-0.205,-0.005,-0.195,-0.253,-0.132,0.227,0.25,-0.247,-0.16,-0.331,0.114,-0.047,-0.217
-0.053,-0.073,-0.168,-0.055,0.007,0.362,-0.167,0.083,-0.084,0.082,0.243,-0.027,-0.291,-0.268,0.236,0.13,0.165,-0.021,0.04,0.217
-0.005,-0.056,-0.126,-0.108,-0.141,-0.165,-0.026,-0.067,0.031,0.022,-0.089,-0.062,-0.157,-0.067,-0.127,-0.035,-0.151,0.026,0.033,-0.061
0.044,0.161,-0.024,-0.061,0.015,-0.083,-0.005,0.059,-0.08,0.007,-0.029,-0.006,-0.004,0.071,-0.202,-0.032,-0.045,0.074,0.224,-0.109
-0.004,-0.049,0.001,-0.014,0.025,0.227,0.035,0.024,0.075,-0.169,0.109,0.054,-0.062,-0.039,0.207,0.106,0.133,-0.122,-0.084,0.072
0.007,-0.014,-0.036,0.192,-0.055,-0.347,0.006,0.196,0.031,-0.177,-0.184,-0.053,0.055,0.101,-0.266,-0.066,-0.064,-0.049,-0.291,-0.032
0.103,0.023,-0.019,-0.047,-0.079,0.156,-0.075,0.064,0.016,0.059,0.048,0.048,-0.057,0.007,0.143,0.078,-0.005,0.094,0.108,-0.007
0.075,-0.053,-0.055,-0.185,0.01,0.275,-0.025,-0.123,-0.016,0.068,0.168,0.18,-0.027,-0.074,0.08,0.073,0.209,0.067,0.06,0.042
0.192,-0.287,-0.163,-0.039,-0.259,-0.315,0.263,0.336,0.095,0.059,-0.181,0.057,0.116,-0.172,-0.25,-0.069,-0.186,0.017,0.067,-0.172
0.059,0.12,-0.043,-0.027,0.225,0.457,-0.136,-0.22,-0.05,-0.065,0.096,-0.115,-0.172,0.047,0.364,0.022,0.145,-0.043,-0.013,0.148
0.014,0.008,0.121,0.022,-0.008,0.014,0.065,0.042,0.05,0.163,0.021,-0.007,-0.076,-0.045,0.007,0.041,0.02,0.051,-0.011,-0.098
0.022,-0.046,-0.022,-0.045,-0.051,0.109,-0.044,0.125,-0.059,0.032,0.031,0.068,-0.04,0.108,0.246,0.055,0.069,0.13,0.071,0.081
