EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Chinese GP Sprint Quali Q1,Max Verstappen,01:31.916,24.533,27.634,39.749,281 kp/h,274 kp/h,268 kp/h,59%,18%,23%,Liam Lawson,01:32.729,24.780,27.669,40.280,281 kp/h,276 kp/h,267 kp/h,57%,19%,24%,-0.813,0.813,64 kp/h,337 kp/h,4/17,13/17
Chinese GP Sprint Quali Q1,Pierre Gasly,01:32.640,24.918,27.828,39.894,279 kp/h,275 kp/h,268 kp/h,60%,15%,25%,Jack Doohan,01:32.575,24.609,27.945,40.021,280 kp/h,274 kp/h,268 kp/h,56%,18%,26%,0.065,-0.065,63 kp/h,331 kp/h,7/17,10/17
Chinese GP Sprint Quali Q1,Kimi Antonelli,01:31.999,24.477,27.850,39.672,281 kp/h,274 kp/h,272 kp/h,54%,20%,26%,George Russell,01:31.952,24.605,27.622,39.725,280 kp/h,276 kp/h,264 kp/h,57%,20%,23%,0.047,-0.047,65 kp/h,339 kp/h,8/17,9/17
Chinese GP Sprint Quali Q1,Fernando Alonso,01:32.121,24.449,27.760,39.912,282 kp/h,276 kp/h,270 kp/h,58%,17%,25%,Lance Stroll,01:32.327,24.369,27.902,40.056,280 kp/h,274 kp/h,270 kp/h,60%,18%,22%,-0.206,0.206,61 kp/h,336 kp/h,9/17,8/17
Chinese GP Sprint Quali Q1,Charles Leclerc,01:31.518,24.511,27.601,39.406,282 kp/h,277 kp/h,270 kp/h,56%,19%,25%,Lewis Hamilton,01:31.212,24.415,27.428,39.369,280 kp/h,276 kp/h,272 kp/h,59%,24%,17%,0.306,-0.306,65 kp/h,337 kp/h,10/17,7/17
Chinese GP Sprint Quali Q1,Yuki Tsunoda,01:32.316,24.554,27.838,39.924,281 kp/h,276 kp/h,270 kp/h,57%,20%,23%,Isack Hadjar,01:32.171,24.657,27.677,39.837,281 kp/h,274 kp/h,266 kp/h,61%,16%,23%,0.145,-0.145,62 kp/h,336 kp/h,8/17,9/17
Chinese GP Sprint Quali Q1,Alexander Albon,01:32.462,24.490,27.932,40.040,281 kp/h,276 kp/h,271 kp/h,54%,21%,25%,Carlos Sainz,01:32.457,24.601,27.883,39.973,280 kp/h,274 kp/h,270 kp/h,60%,22%,18%,0.005,-0.005,62 kp/h,336 kp/h,8/17,9/17
Chinese GP Sprint Quali Q1,Nico Hulkenberg,01:32.675,24.606,27.906,40.163,281 kp/h,276 kp/h,270 kp/h,56%,18%,26%,Gabriel Bortoleto,01:32.539,24.608,27.854,40.077,281 kp/h,276 kp/h,270 kp/h,56%,17%,27%,0.136,-0.136,64 kp/h,336 kp/h,9/17,8/17
Chinese GP Sprint Quali Q1,Esteban Ocon,01:32.651,24.702,27.798,40.151,279 kp/h,275 kp/h,265 kp/h,55%,22%,23%,Ollie Bearman,01:32.269,24.768,27.645,39.856,280 kp/h,275 kp/h,266 kp/h,54%,20%,26%,0.382,-0.382,63 kp/h,332 kp/h,11/17,6/17
Chinese GP Sprint Quali Q1,Lando Norris,01:31.396,24.207,27.555,39.634,281 kp/h,276 kp/h,273 kp/h,56%,19%,25%,Oscar Piastri,01:31.723,24.509,27.478,39.736,280 kp/h,275 kp/h,271 kp/h,56%,20%,24%,-0.327,0.327,67 kp/h,333 kp/h,5/17,12/17
