Q1_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q2_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Racing Bulls,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
0.031,0.04,-0.091,-0.026,-0.069,-0.02,-0.017,-0.038,0.053,0.023,-0.053,-0.039,0.066,-0.045,0.183,0.108,0.0,0.049
-0.288,0.23,0.232,0.159,0.35,-0.101,-0.059,-0.21,-0.133,-0.011,0.207,0.009,-0.02,-0.074,0.169,0.168,-0.034,0.074
0.103,0.076,0.156,0.09,0.016,-0.178,-0.23,-0.299,0.007,-0.207,-0.111,0.062,0.025,-0.132,-0.063,0.158,-0.116,-0.078
0.225,-0.354,-0.099,-0.11,-0.385,0.155,0.202,0.289,0.014,0.059,0.081,0.003,0.138,0.061,-0.108,-0.028,0.098,-0.095
0.055,-0.115,0.022,-0.05,-0.059,0.049,0.012,0.058,0.016,0.008,0.012,0.028,0.064,0.02,-0.047,0.009,0.007,-0.027
-0.361,0.419,0.081,0.099,0.311,0.137,-0.307,-0.493,-0.258,-0.239,0.043,0.037,-0.218,-0.117,0.085,-0.183,-0.136,-0.104
0.473,-0.479,-0.229,-0.17,-0.404,-0.079,0.153,0.397,-0.003,0.09,-0.207,0.063,0.251,0.032,-0.139,0.005,0.244,0.087
0.001,-0.141,-0.065,-0.037,-0.045,-0.081,0.081,-0.124,-0.117,-0.054,-0.097,0.046,0.037,-0.097,0.037,-0.049,0.003,0.115
-0.146,0.039,0.04,0.149,0.073,-0.036,-0.097,-0.278,0.031,-0.1,0.182,-0.097,0.045,-0.007,-0.001,0.034,-0.033,-0.009
0.023,0.058,0.026,-0.112,-0.115,0.202,0.095,0.214,0.017,0.121,-0.064,-0.083,-0.016,0.138,-0.104,-0.035,0.027,-0.071
-0.164,0.397,0.222,-0.068,0.077,-0.201,0.12,-0.384,0.107,0.114,0.107,-0.023,0.042,0.091,-0.381,-0.561,-0.171,0.144
0.222,-0.045,-0.138,-0.104,-0.222,-0.007,-0.038,0.219,0.015,-0.072,0.085,0.043,0.204,0.104,-0.076,0.117,0.095,-0.034
0.242,-0.185,-0.254,-0.087,-0.163,0.089,-0.084,0.197,-0.09,0.045,-0.209,-0.049,-0.068,0.003,0.215,0.188,0.106,-0.181
0.115,-0.275,-0.249,-0.057,-0.147,-0.058,0.128,0.275,0.017,0.076,0.121,0.189,0.033,0.17,-0.088,0.115,0.22,0.162
0.166,0.183,-0.029,0.029,0.077,0.244,-0.043,-0.082,-0.043,-0.125,-0.236,-0.095,0.014,-0.208,-0.071,0.016,-0.134,-0.363
0.07,0.032,0.127,0.145,0.126,0.02,0.005,-0.019,0.166,0.021,-0.038,-0.082,-0.021,-0.014,-0.01,0.177,-0.008,-0.114
0.046,0.055,0.201,0.021,0.01,0.071,0.006,-0.028,0.024,0.043,0.032,-0.017,0.21,-0.061,0.017,0.088,0.02,-0.019
