EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Chinese GP Sprint Race ,Max Verstappen,3,-35.1 s,0:27:36.620,1:37.144,1.998 s,0,0:00:00,Liam Lawson,14,+35.1 s,0:27:59.084,1:38.575,1.39 s,0,0:00:00,17/19,2/19,0/19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Chinese GP Sprint Race ,Pierre Gasly,12,-20.563 s,0:27:56.553,1:38.756,1.205 s,0,0:00:00,Jack Doohan,20,+20.563 s,0:28:15.017,1:38.627,1.377 s,0,0:00:00,14/19,5/19,0/19,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
Chinese GP Sprint Race ,Kimi Antonelli,7,+11.446 s,0:27:44.654,1:38.005,1.999 s,0,0:00:00,George Russell,4,-11.446 s,0:27:35.179,1:37.382,1.585 s,0,0:00:00,1/19,18/19,0/19,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Chinese GP Sprint Race ,Fernando Alonso,10,+13.302 s,0:27:57.598,1:38.212,2.3 s,0,0:00:00,Lance Stroll,9,-13.302 s,0:27:45.804,1:37.691,1.834 s,0,0:00:00,1/19,18/19,0/19,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Chinese GP Sprint Race ,Charles Leclerc,5,+12.190 s,0:27:34.967,1:37.291,1.071 s,0,0:00:00,Lewis Hamilton,1,-12.190 s,0:27:27.933,1:36.899,0.946 s,0,0:00:00,5/19,14/19,0/19,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
Chinese GP Sprint Race ,Yuki Tsunoda,6,-20.112 s,0:27:44.316,1:37.908,2.042 s,0,0:00:00,Isack Hadjar,13,+20.112 s,0:27:58.263,1:38.560,1.249 s,0,0:00:00,18/19,1/19,0/19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Chinese GP Sprint Race ,Alexander Albon,11,-12.084 s,0:27:58.156,1:38.309,2.118 s,0,0:00:00,Carlos Sainz,17,+12.084 s,0:28:08.708,1:37.863,1.674 s,0,0:00:00,11/19,8/19,0/19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
Chinese GP Sprint Race ,Nico Hulkenberg,19,+02.742 s,0:28:08.319,1:39.129,1.443 s,0,0:00:00,Gabriel Bortoleto,18,-02.742 s,0:28:10.337,1:39.037,1.428 s,0,0:00:00,11/19,8/19,0/19,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
Chinese GP Sprint Race ,Esteban Ocon,16,+00.533 s,0:28:01.527,1:39.025,1.111 s,0,0:00:00,Ollie Bearman,15,-00.533 s,0:28:03.694,1:38.365,2.283 s,0,0:00:00,8/19,11/19,0/19,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Chinese GP Sprint Race ,Lando Norris,8,+16.582 s,0:27:43.822,1:37.875,1.234 s,0,0:00:00,Oscar Piastri,2,-16.582 s,0:27:32.045,1:37.004,1.524 s,0,0:00:00,2/19,17/19,0/19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
