Q1_Red Bull Racing,Q2_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
0.063,0.11,0.042,0.066,0.001,-0.045,0.076,-0.024,0.037,0.091,-0.02,0.028,-0.058,0.01,-0.016,-0.052,0.031,0.039,0.065
0.062,0.064,0.146,-0.01,-0.052,-0.043,0.081,0.024,-0.097,0.061,0.034,-0.039,-0.013,-0.042,0.034,-0.068,0.047,0.032,0.011
0.005,0.077,-0.006,-0.072,-0.073,-0.285,0.0,-0.067,0.017,-0.039,0.011,0.025,-0.004,0.012,-0.029,-0.053,0.03,0.065,0.119
0.041,0.022,0.043,-0.051,-0.044,-0.049,-0.026,0.05,0.014,0.043,0.047,-0.013,-0.007,-0.012,0.028,0.004,-0.034,0.03,0.016
-0.061,0.053,0.029,-0.03,-0.028,-0.067,0.049,0.03,0.074,0.005,0.064,0.045,0.043,-0.08,0.034,-0.056,0.001,0.036,0.04
-0.022,-0.075,0.011,0.038,0.067,0.044,0.012,-0.009,0.023,-0.014,-0.017,-0.015,0.035,-0.093,-0.089,0.044,0.002,0.046,-0.024
-0.045,0.029,0.088,-0.022,-0.078,0.068,0.092,0.087,0.074,-0.046,0.103,-0.075,-0.036,-0.017,-0.022,-0.027,-0.038,-0.003,0.064
0.076,0.105,-0.065,0.03,0.005,0.046,0.102,0.026,0.007,0.004,0.043,-0.004,-0.021,-0.099,0.004,0.013,-0.013,-0.011,0.024
0.006,-0.013,0.105,0.043,0.019,0.03,-0.032,0.106,0.121,0.056,-0.03,-0.032,0.129,-0.005,0.08,-0.1,-0.063,0.093,-0.11
-0.041,-0.055,0.066,-0.061,-0.089,-0.061,0.053,-0.11,-0.101,-0.006,-0.002,0.058,-0.081,0.041,-0.215,-0.042,0.052,0.014,0.028
0.104,-0.239,-0.113,0.014,-0.13,-0.327,-0.046,0.307,-0.255,0.168,-0.034,0.113,0.293,0.097,0.058,-0.302,-0.309,0.197,0.023
-0.229,0.137,0.148,-0.041,0.108,0.362,0.056,-0.546,0.024,-0.208,-0.03,-0.04,-0.226,-0.022,-0.103,0.203,0.187,-0.105,-0.068
-0.006,0.022,-0.095,-0.093,0.074,0.021,0.014,-0.028,0.026,0.053,0.032,-0.001,-0.055,0.051,0.058,0.024,-0.048,0.026,-0.036
-0.016,-0.021,0.074,-0.083,-0.034,-0.066,0.106,0.07,-0.031,0.066,0.046,0.009,-0.009,0.052,0.041,0.055,0.015,-0.189,-0.058
0.083,0.18,-0.147,0.072,-0.065,0.136,0.264,-0.006,0.079,0.045,-0.088,-0.077,0.073,-0.069,-0.024,-0.121,-0.003,0.012,0.158
0.018,-0.097,0.295,-0.02,0.082,-0.212,-0.188,0.134,-0.033,0.159,-0.151,0.045,-0.071,0.006,0.027,-0.072,-0.136,0.053,-0.22
0.002,0.115,0.088,0.062,-0.018,0.133,0.227,0.045,0.05,0.052,-0.009,0.03,0.031,-0.053,0.051,0.02,0.048,-0.023,-0.016
-0.008,0.045,-0.008,0.038,0.023,0.066,0.084,-0.054,0.012,-0.088,-0.029,-0.021,0.023,-0.06,-0.04,0.041,0.067,0.025,0.016
-0.008,0.039,-0.01,-0.005,-0.007,0.012,0.01,-0.013,0.014,-0.033,0.021,0.017,0.006,0.007,-0.008,0.021,0.006,0.024,0.0
