Q1_Red Bull Racing,Q2_Red Bull Racing,Q3_Red Bull Racing,Q1_Alpine,Q2_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
0.307,0.368,0.205,0.212,0.307,-0.347,0.343,-0.403,0.297,0.282,0.222,0.091,0.129,0.033,-0.223,0.418,-0.208,-0.117,-0.12
-0.11,-0.258,-0.032,-0.139,-0.143,0.138,-0.26,0.177,-0.207,-0.26,-0.129,-0.06,0.109,-0.048,0.203,-0.151,0.311,0.02,-0.024
-0.003,-0.022,0.009,0.025,-0.083,-0.009,-0.059,0.014,-0.027,-0.015,0.019,-0.026,-0.054,0.063,-0.04,-0.018,0.044,0.018,-0.01
-0.065,0.034,0.002,0.217,0.204,0.048,0.165,-0.213,0.227,-0.026,-0.166,-0.024,0.282,0.176,-0.008,0.053,-0.189,-0.087,-0.077
-0.013,-0.052,0.041,-0.273,-0.177,0.101,-0.112,0.255,-0.144,-0.047,0.09,0.07,-0.25,-0.089,-0.014,-0.101,0.049,0.016,-0.001
0.025,0.049,0.025,0.054,0.034,-0.019,0.082,-0.079,0.098,-0.015,-0.057,-0.022,0.002,0.009,0.044,-0.011,-0.034,-0.018,0.015
0.02,-0.013,0.023,-0.007,0.056,0.025,-0.037,0.049,-0.011,0.023,-0.002,0.031,-0.089,0.0,-0.031,0.012,0.036,0.024,0.008
-0.028,0.235,-0.112,0.225,0.52,-0.319,0.237,-0.295,0.136,-0.132,-0.063,0.436,0.365,-0.007,0.206,0.034,-0.361,-0.203,0.146
0.174,-0.23,0.064,-0.325,-0.373,0.266,-0.397,0.339,-0.17,0.071,0.188,-0.199,-0.518,0.032,-0.085,0.148,0.346,0.233,-0.197
0.033,-0.02,-0.112,-0.233,0.43,-0.285,0.002,-0.528,0.211,0.072,-0.002,0.209,0.307,0.28,0.259,-0.112,-0.295,-0.166,0.025
0.03,0.058,0.535,0.268,-0.141,0.172,0.101,0.471,-0.035,-0.009,0.04,-0.111,-0.351,-0.187,-0.63,0.595,0.058,0.01,-0.18
-0.005,-0.005,0.048,-0.04,-0.122,0.116,-0.068,0.053,0.039,-0.142,0.025,0.041,-0.084,-0.04,-0.075,-0.115,0.328,0.046,0.04
0.231,0.052,0.265,-0.117,0.226,-0.065,0.208,-0.061,0.053,0.062,0.015,0.146,0.039,0.145,-0.082,0.051,0.027,0.041,-0.163
-0.193,-0.009,-0.148,-0.027,0.072,0.144,-0.161,-0.13,0.321,-0.046,0.028,0.023,-0.213,-0.122,-0.142,0.039,0.091,0.097,0.154
0.003,-0.036,0.011,0.074,-0.096,0.047,-0.068,0.08,-0.119,-0.021,0.042,0.014,-0.131,-0.087,0.039,-0.059,0.053,-0.022,-0.023
0.042,0.058,0.056,0.038,-0.112,0.066,-0.028,0.067,-0.02,-0.032,0.035,-0.022,0.008,-0.039,0.005,-0.004,0.029,0.002,-0.019
