Q1_Red Bull Racing,Q2_Red Bull Racing,Q3_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren
0.023,0.019,0.249,-0.081,-0.041,0.042,-0.217,-0.045,-0.234,0.014,0.05,-0.117,0.012,0.004,0.216,0.022,0.011,0.048,0.065
-0.002,0.073,0.106,0.059,-0.029,0.072,-0.171,-0.091,0.246,0.094,0.022,-0.063,0.02,0.096,-0.023,-0.04,-0.36,-0.076,-0.083
0.06,-0.046,-0.079,0.038,0.136,-0.081,-0.087,0.13,0.026,-0.167,-0.111,0.226,0.029,-0.103,-0.197,0.039,0.003,0.112,0.137
0.012,0.091,0.056,-0.005,-0.092,-0.081,-0.128,0.027,0.084,-0.048,0.079,-0.037,-0.025,0.049,-0.104,0.034,0.033,-0.018,0.032
0.045,0.009,0.095,0.006,0.059,-0.022,0.035,0.044,-0.084,-0.009,0.043,0.026,0.051,0.023,0.03,0.038,0.113,0.02,0.021
-0.005,-0.011,0.065,0.013,-0.011,0.009,0.016,-0.01,-0.061,0.013,0.06,0.022,0.02,0.016,0.038,0.015,0.056,0.011,-0.001
-0.012,-0.014,0.017,0.014,0.003,-0.009,-0.002,0.002,-0.006,0.011,0.024,-0.003,0.011,-0.003,0.016,-0.009,0.016,0.008,-0.005
-0.003,-0.01,0.007,0.017,-0.001,-0.009,-0.008,0.006,-0.003,0.001,0.03,-0.014,-0.001,-0.003,0.004,0.002,-0.019,-0.001,-0.015
0.022,0.077,0.086,-0.056,-0.027,-0.035,-0.072,-0.01,-0.064,0.024,0.041,-0.039,0.004,0.059,0.008,0.018,-0.057,-0.099,-0.043
0.032,0.02,0.035,0.01,0.018,-0.029,-0.043,-0.037,0.009,0.011,0.017,0.038,0.033,0.0,0.017,0.019,-0.032,0.011,-0.028
-0.008,-0.001,0.01,-0.01,0.01,-0.013,-0.003,-0.01,0.013,0.011,-0.006,0.046,0.035,0.012,-0.006,0.003,-0.007,0.011,-0.028
0.003,-0.002,0.006,-0.001,0.003,-0.003,0.003,0.002,0.0,0.002,-0.001,0.018,0.019,0.019,-0.004,-0.004,0.008,0.013,-0.009
-0.107,0.033,0.104,-0.124,-0.03,0.067,-0.072,0.014,0.073,0.044,0.172,-0.06,0.068,0.077,0.069,0.032,-0.255,0.042,-0.154
0.082,-0.059,-0.015,0.113,0.009,-0.043,0.068,-0.006,-0.056,0.077,-0.054,0.054,-0.001,-0.007,-0.037,0.037,0.138,-0.048,0.1
0.015,-0.011,0.004,0.013,0.007,-0.001,0.004,-0.01,-0.029,0.005,-0.002,0.009,0.02,0.028,0.001,0.006,0.01,0.016,-0.003
-0.012,0.066,0.048,0.0,-0.079,-0.041,-0.097,-0.106,0.049,-0.002,0.075,-0.185,0.013,0.028,-0.057,-0.071,-0.136,-0.094,-0.073
0.022,0.017,-0.015,0.032,0.044,0.004,-0.003,0.061,-0.047,0.019,-0.066,0.098,-0.022,0.027,-0.013,-0.018,-0.035,0.019,0.018
0.025,0.014,0.0,0.059,-0.028,0.004,0.033,0.064,-0.056,0.029,-0.037,0.017,0.016,0.007,-0.012,0.027,0.021,0.01,0.016
0.005,0.007,-0.008,0.007,0.005,0.005,0.015,0.018,-0.012,0.01,-0.002,0.011,0.013,0.009,0.008,-0.005,0.009,0.014,0.019
0.005,0.002,-0.014,0.008,-0.002,0.0,0.014,0.008,-0.001,0.003,-0.006,0.001,-0.007,0.021,-0.001,-0.003,0.014,0.006,0.005
0.014,0.0,-0.017,0.004,-0.007,-0.003,0.008,0.004,0.007,-0.002,0.001,0.005,-0.006,0.015,-0.003,-0.001,0.0,0.012,-0.001
0.117,0.128,0.039,0.082,0.18,-0.021,-0.102,-0.114,-0.018,0.048,0.041,-0.115,-0.113,0.038,0.086,-0.062,-0.107,-0.019,-0.018
0.063,0.033,0.043,-0.011,-0.003,0.0,0.123,0.042,0.046,0.005,0.004,0.042,-0.023,-0.019,-0.003,0.027,0.021,0.023,0.005
0.059,0.029,0.016,-0.008,-0.008,0.006,0.051,0.044,-0.001,-0.03,0.052,0.019,-0.01,-0.016,-0.016,0.017,0.026,0.028,0.012
0.027,0.008,-0.018,-0.011,-0.014,0.002,0.046,0.022,-0.003,-0.012,0.001,0.036,-0.032,0.018,-0.001,0.004,-0.008,0.008,-0.003
0.022,0.01,-0.008,0.004,-0.022,-0.012,0.031,0.0,0.009,0.004,0.008,0.023,-0.027,0.021,-0.004,0.002,-0.004,0.049,-0.008
-0.04,0.223,0.043,0.088,-0.148,0.166,-0.013,-0.121,-0.067,0.129,0.146,-0.274,-0.244,0.095,0.174,0.067,-0.03,0.133,0.21
-0.016,-0.244,0.055,0.058,0.222,-0.173,0.112,0.169,0.0,-0.048,-0.05,0.291,0.062,0.169,-0.176,0.031,0.015,-0.143,-0.104
