EventName,TeamLogo,corner_domination,delta_time,speed,delta_by_team,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,bar_graph,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,bar_graph_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1RkfIlBvssK_K4V3iPVCgWWQqG—DzoYW=w300?authuser=0,https://lh3.googleusercontent.com/d/1M-upMHSlMM6PIiHU-hfNnHs2hOgqs29S=w400?authuser=0,https://lh3.googleusercontent.com/d/1sKOc1qc0xD6zuB2iBrChfyKsHpSJLQ_H=w1300?authuser=0,https://lh3.googleusercontent.com/d/1__KTAjE10AhFQ1jDd4Whw_hgnrlFfgzN=w1300?authuser=0,"[0.023, -0.002, 0.06, 0.012, 0.045, -0.005, -0.012, -0.003, 0.022, 0.032, -0.008, 0.003, -0.107, 0.082, 0.015, -0.012, 0.022, 0.025, 0.005, 0.005, 0.014, 0.117, 0.063, 0.059, 0.027, 0.022, -0.04, -0.016]",Max Verstappen,01:27.778,31.874,27.813,28.091,295 kp/h,330 kp/h,310 kp/h,78%,14%,8%,https://lh3.googleusercontent.com/d/1r4rPui7096sqQtgdhzDpLMfvj-3Frd17=w500?authuser=0,Yuki Tsunoda,01:28.226,32.028,27.891,28.307,294 kp/h,326 kp/h,312 kp/h,75%,12%,13%,https://lh3.googleusercontent.com/d/17g-g9q40Ias-tJoTgwXbx3Di_rxWUh8G=w500?authuser=0,-0.4480000000000004,0.4480000000000004,87 kp/h,336 kp/h,9/28,19/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1lGch_kRGu8A1jY7U3tPK2HVpXMLRYfes=w300?authuser=0,https://lh3.googleusercontent.com/d/1uoEbkRhSq2at7qNLwQ3NNnkC3raXzBx1=w400?authuser=0,https://lh3.googleusercontent.com/d/1ntIBkZmWMvUYwnrujG3TU7sE7hy2Qwms=w1300?authuser=0,https://lh3.googleusercontent.com/d/1nefjEIYciN93CPQQZRk1AkRmmcbBXdFq=w1300?authuser=0,"[-0.081, 0.059, 0.038, -0.005, 0.006, 0.013, 0.014, 0.017, -0.056, 0.01, -0.01, -0.001, -0.124, 0.113, 0.013, 0.0, 0.032, 0.059, 0.007, 0.008, 0.004, 0.082, -0.011, -0.008, -0.011, 0.004, 0.088, 0.058]",Pierre Gasly,01:28.421,32.136,28.027,28.258,294 kp/h,327 kp/h,311 kp/h,72%,12%,16%,https://lh3.googleusercontent.com/d/1fiL9i5rY5ToeB6XIhAnhZYK7NUPNZqq6=w500?authuser=0,Jack Doohan,01:28.739,32.223,28.123,28.393,297 kp/h,325 kp/h,310 kp/h,68%,17%,15%,https://lh3.googleusercontent.com/d/1TG-lc13kdJVRR_umU-fWHAal2zvT2FLz=w500?authuser=0,-0.3180000000000014,0.3180000000000014,89 kp/h,336 kp/h,9/28,19/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1TJKRpVtfk6pDS39HDpxnIxQVtvkHWaJJ=w300?authuser=0,https://lh3.googleusercontent.com/d/1c0ezOlVrQRgpfqJf1sbb3yousm4hS1Go=w400?authuser=0,https://lh3.googleusercontent.com/d/1EpRU-sVcfvxifaxm5vTXH0CEItwS8CEz=w1300?authuser=0,https://lh3.googleusercontent.com/d/1IngDPsdPmWIoHtWE-g-3YVXwGzYBSEau=w1300?authuser=0,"[-0.041, -0.029, 0.136, -0.092, 0.059, -0.011, 0.003, -0.001, -0.027, 0.018, 0.01, 0.003, -0.03, 0.009, 0.007, -0.079, 0.044, -0.028, 0.005, -0.002, -0.007, 0.18, -0.003, -0.008, -0.014, -0.022, -0.148, 0.222]",Kimi Antonelli,01:28.128,32.232,27.743,28.153,295 kp/h,327 kp/h,310 kp/h,73%,13%,14%,https://lh3.googleusercontent.com/d/1Usgnpcw3lkd61MeUCfYeQH9ucrLQ71sm=w500?authuser=0,George Russell,01:28.282,32.295,27.724,28.263,294 kp/h,328 kp/h,306 kp/h,73%,13%,14%,https://lh3.googleusercontent.com/d/1wmOxqk0ZewD0ym02qX6VfRC5cj4hOCMf=w500?authuser=0,-0.15399999999999991,0.15399999999999991,88 kp/h,333 kp/h,16/28,12/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1da00YvDsoNskuL1_gsQF3vyVPb9LtDkJ=w300?authuser=0,https://lh3.googleusercontent.com/d/1qrcpH70aTAbkJWIdiFafX54RYk3peiHS=w400?authuser=0,https://lh3.googleusercontent.com/d/17S7gmlTACu8Aw9j9aHBtquPsnUj3KykZ=w1300?authuser=0,https://lh3.googleusercontent.com/d/17SI-ZvCjPclTz4aiPIvm7fM3OgwJkx0G=w1300?authuser=0,"[-0.045, -0.091, 0.13, 0.027, 0.044, -0.01, 0.002, 0.006, -0.01, -0.037, -0.01, 0.002, 0.014, -0.006, -0.01, -0.106, 0.061, 0.064, 0.018, 0.008, 0.004, -0.114, 0.042, 0.044, 0.022, 0.0, -0.121, 0.169]",Fernando Alonso,01:28.548,32.093,27.928,28.527,295 kp/h,323 kp/h,303 kp/h,75%,11%,14%,https://lh3.googleusercontent.com/d/1wQlztu_sxPM-bpg_jga362SvHvL7xu8m=w500?authuser=0,Lance Stroll,01:28.645,32.072,28.054,28.519,293 kp/h,324 kp/h,305 kp/h,77%,14%,9%,https://lh3.googleusercontent.com/d/1Sj4alJKXRhvUucGYE-R1UQsvAwzSF64D=w500?authuser=0,-0.09700000000000131,0.09700000000000131,91 kp/h,335 kp/h,11/28,17/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/14wHp4Qdypc2rxIP3bYvN9mB94k9YqcgN=w300?authuser=0,https://lh3.googleusercontent.com/d/1YlwSvoNSBtMMoPf2QTThP5Yod1jJ3eRX=w400?authuser=0,https://lh3.googleusercontent.com/d/1hKtsuH9V8j4i-7Gk5k4_sDPcuh3n_GQj=w1300?authuser=0,https://lh3.googleusercontent.com/d/1PQWVUvjOrUZw-XyAqTaDxQCaciuEYjj7=w1300?authuser=0,"[-0.234, 0.246, 0.026, 0.084, -0.084, -0.061, -0.006, -0.003, -0.064, 0.009, 0.013, 0.0, 0.073, -0.056, -0.029, 0.049, -0.047, -0.056, -0.012, -0.001, 0.007, -0.018, 0.046, -0.001, -0.003, 0.009, -0.067, 0.0]",Charles Leclerc,01:28.552,32.353,27.978,28.221,296 kp/h,330 kp/h,307 kp/h,72%,15%,13%,https://lh3.googleusercontent.com/d/1BW4AtvFEN3KG85aGvwrjMMpUSEb24QBT=w500?authuser=0,Lewis Hamilton,01:28.372,32.236,27.889,28.247,295 kp/h,328 kp/h,309 kp/h,75%,14%,11%,https://lh3.googleusercontent.com/d/1w6yi7QslmUPmTAH5OuErE0s1VAZAHiYf=w500?authuser=0,0.17999999999999972,-0.17999999999999972,79 kp/h,335 kp/h,16/28,12/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/16omMP-NcvKxDP2tfk-YWBWmwtruaibfG=w300?authuser=0,https://lh3.googleusercontent.com/d/1XtzEBOQfXb9YijOexF7TRWjqHD3eLzG_=w400?authuser=0,https://lh3.googleusercontent.com/d/1MPZaKHcovIjPXFm3AS0wz8CmckGTQsxO=w1300?authuser=0,https://lh3.googleusercontent.com/d/1UrFfFpI8W649b2DdgX8jb8Zr33NWrCIx=w1300?authuser=0,"[-0.117, -0.063, 0.226, -0.037, 0.026, 0.022, -0.003, -0.014, -0.039, 0.038, 0.046, 0.018, -0.06, 0.054, 0.009, -0.185, 0.098, 0.017, 0.011, 0.001, 0.005, -0.115, 0.042, 0.019, 0.036, 0.023, -0.274, 0.291]",Alexander Albon,01:28.279,31.964,28.006,28.309,297 kp/h,324 kp/h,306 kp/h,74%,12%,14%,https://lh3.googleusercontent.com/d/1p1rZIeAnneuTOgvPv1RLv42tXyp0oYKF=w500?authuser=0,Carlos Sainz,01:28.354,32.096,27.952,28.306,297 kp/h,325 kp/h,309 kp/h,75%,14%,11%,https://lh3.googleusercontent.com/d/1gQHXsWpiSvK7Z5t9dAD5R9r4ckfdVtsx=w500?authuser=0,-0.07499999999999929,0.07499999999999929,86 kp/h,332 kp/h,10/28,18/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1f_v8RhthHV9b4wViOWvJ3l3KT2Nphflx=w300?authuser=0,https://lh3.googleusercontent.com/d/1T8WKkbYbzIkXhAY-OkmC3-q9nru_1eNq=w400?authuser=0,https://lh3.googleusercontent.com/d/1qGyJuo20CIPmWdSfSvb_0laaMSc8E4qU=w1300?authuser=0,https://lh3.googleusercontent.com/d/15KUpAkbONBs-6nxUduBg-rZ1XFkAJS0i=w1300?authuser=0,"[0.004, 0.096, -0.103, 0.049, 0.023, 0.016, -0.003, -0.003, 0.059, 0.0, 0.012, 0.019, 0.077, -0.007, 0.028, 0.028, 0.027, 0.007, 0.009, 0.021, 0.015, 0.038, -0.019, -0.016, 0.018, 0.021, 0.095, 0.169]",Nico Hulkenberg,01:28.782,32.477,27.982,28.323,298 kp/h,334 kp/h,313 kp/h,72%,13%,15%,https://lh3.googleusercontent.com/d/1YMOHUaCRfUfFNo6y3UrvJppAxHhOU2VA=w500?authuser=0,Gabriel Bortoleto,01:29.462,32.653,28.264,28.545,295 kp/h,330 kp/h,311 kp/h,71%,15%,14%,https://lh3.googleusercontent.com/d/1l303AEfDAiBUoyA0KnNmKMCIVx2DEUHA=w500?authuser=0,-0.6799999999999997,0.6799999999999997,83 kp/h,339 kp/h,6/28,22/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1zyLQwHg1e66Ev2Rtv6V1QTh487Dkv7yn=w300?authuser=0,https://lh3.googleusercontent.com/d/1J0Pm9hnp8bPIZEL_EfqjJ2WZMN20m6Ga=w400?authuser=0,https://lh3.googleusercontent.com/d/1GS5nZ4L3-HUL00b4005A8OXYTAEK6eWn=w1300?authuser=0,https://lh3.googleusercontent.com/d/1Z7T-Gj7mI8pThlbZmqTkY-8NT-Dj28JH=w1300?authuser=0,"[0.216, -0.023, -0.197, -0.104, 0.03, 0.038, 0.016, 0.004, 0.008, 0.017, -0.006, -0.004, 0.069, -0.037, 0.001, -0.057, -0.013, -0.012, 0.008, -0.001, -0.003, 0.086, -0.003, -0.016, -0.001, -0.004, 0.174, -0.176]",Liam Lawson,01:28.561,32.295,28.003,28.263,295 kp/h,325 kp/h,310 kp/h,76%,10%,14%,https://lh3.googleusercontent.com/d/1Yy3pFzcChyzyRPNoPPXzNTdhNjGjVpBz=w500?authuser=0,Isack Hadjar,01:28.571,32.225,27.994,28.352,296 kp/h,325 kp/h,311 kp/h,76%,12%,12%,https://lh3.googleusercontent.com/d/1Y6ylvjj6cMVi5UyVQ2jqtvDjshU3rBDv=w500?authuser=0,-0.010000000000001563,0.010000000000001563,92 kp/h,331 kp/h,16/28,12/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/19ZD0B5GKdysaVelv6s-ltmx9uJVDpT58=w300?authuser=0,https://lh3.googleusercontent.com/d/1_QnLk4-mFkHagTgM7g2BgEArECVrRKiR=w400?authuser=0,https://lh3.googleusercontent.com/d/1je_x6wMNu4bJmfJOVGk9pmkJnR7gTooP=w1300?authuser=0,https://lh3.googleusercontent.com/d/1J0mKoQ8KFfZGhy8X0mcWT-0hKHX9oGMC=w1300?authuser=0,"[0.011, -0.36, 0.003, 0.033, 0.113, 0.056, 0.016, -0.019, -0.057, -0.032, -0.007, 0.008, -0.255, 0.138, 0.01, -0.136, -0.035, 0.021, 0.009, 0.014, 0.0, -0.107, 0.021, 0.026, -0.008, -0.004, -0.03, 0.015]",Esteban Ocon,01:29.092,32.718,28.042,28.332,293 kp/h,325 kp/h,308 kp/h,71%,17%,12%,https://lh3.googleusercontent.com/d/1EL8UnbwshYJ6dc04CU4JpY5mgy1LRqgn=w500?authuser=0,Oliver Bearman,01:28.536,32.497,27.817,28.222,292 kp/h,327 kp/h,309 kp/h,73%,16%,11%,https://lh3.googleusercontent.com/d/1DghjJjrVkDKTb5wIiF2QzocjSvo4qt-7=w500?authuser=0,0.5559999999999974,-0.5559999999999974,71 kp/h,335 kp/h,12/28,16/28
Saudi GP Qualiying Q1,https://lh3.googleusercontent.com/d/1x5wITFEujC2Fi3YAKXB4CDbfnCaqv6bR=w300?authuser=0,https://lh3.googleusercontent.com/d/1oEZ7EhdruND490nzk67mL2Q5vEPSY8e3=w400?authuser=0,https://lh3.googleusercontent.com/d/1md1f6XhFj5b67L6XStex72KYBFNN9ODY=w1300?authuser=0,https://lh3.googleusercontent.com/d/1tPBsTbx1IJnnbeczG02eTzZwxZG2b-bE=w1300?authuser=0,"[0.048, -0.076, 0.112, -0.018, 0.02, 0.011, 0.008, -0.001, -0.099, 0.011, 0.011, 0.013, 0.042, -0.048, 0.016, -0.094, 0.019, 0.01, 0.014, 0.006, 0.012, -0.019, 0.023, 0.028, 0.008, 0.049, 0.133, -0.143]",Lando Norris,01:27.805,31.801,27.831,28.173,296 kp/h,327 kp/h,309 kp/h,73%,11%,16%,https://lh3.googleusercontent.com/d/1g-mkqh3wZ-O6lOlUuhrFgnvjpwsmo_0i=w500?authuser=0,Oscar Piastri,01:27.901,31.901,27.710,28.290,295 kp/h,325 kp/h,308 kp/h,75%,11%,14%,https://lh3.googleusercontent.com/d/1q7ZOg6FW-vZ3quiWxKz_oTzuD939k3AW=w500?authuser=0,-0.09600000000000009,0.09600000000000009,89 kp/h,334 kp/h,8/28,20/28
