EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Miami GP Qualifying Q1,Max Verstappen,01:26.870,28.413,33.450,25.007,223 kp/h,191 kp/h,286 kp/h,61%,16%,23%,Yuki Tsunoda,01:27.298,28.796,33.451,25.051,221 kp/h,190 kp/h,285 kp/h,58%,17%,25%,-0.428,0.428,66 kp/h,340 kp/h,8/20,12/20
Miami GP Qualifying Q1,Pierre Gasly,01:27.710,28.962,33.714,25.034,221 kp/h,191 kp/h,288 kp/h,60%,18%,22%,Jack Doohan,01:27.422,28.744,33.660,25.018,222 kp/h,191 kp/h,287 kp/h,57%,16%,27%,0.288,-0.288,67 kp/h,337 kp/h,11/20,9/20
Miami GP Qualifying Q1,Kimi Antonelli,01:27.077,28.627,33.551,24.899,221 kp/h,192 kp/h,287 kp/h,58%,17%,25%,George Russell,01:27.014,28.674,33.483,24.857,222 kp/h,192 kp/h,288 kp/h,0%,0%,100%,0.063,-0.063,0 kp/h,340 kp/h,20/20,0/20
Miami GP Qualifying Q1,Fernando Alonso,01:27.604,28.851,33.868,24.885,219 kp/h,192 kp/h,286 kp/h,58%,18%,24%,Lance Stroll,01:27.830,29.106,33.837,24.887,216 kp/h,191 kp/h,288 kp/h,60%,17%,23%,-0.226,0.226,63 kp/h,338 kp/h,8/20,12/20
Miami GP Qualifying Q1,Charles Leclerc,01:27.417,28.861,33.559,24.997,221 kp/h,192 kp/h,286 kp/h,56%,20%,24%,Lewis Hamilton,01:27.279,28.734,33.597,24.948,223 kp/h,194 kp/h,286 kp/h,57%,20%,23%,0.138,-0.138,67 kp/h,339 kp/h,9/20,11/20
Miami GP Qualifying Q1,Alexander Albon,01:27.042,28.990,33.240,24.812,223 kp/h,192 kp/h,286 kp/h,56%,19%,25%,Carlos Sainz,01:27.098,28.887,33.383,24.828,224 kp/h,193 kp/h,288 kp/h,56%,17%,27%,-0.056,0.056,65 kp/h,341 kp/h,13/20,7/20
Miami GP Qualifying Q1,Nico Hulkenberg,01:27.473,28.781,33.747,24.945,224 kp/h,192 kp/h,288 kp/h,58%,19%,23%,Gabriel Bortoleto,01:27.343,28.887,33.537,24.919,219 kp/h,193 kp/h,282 kp/h,59%,16%,25%,0.13,-0.13,67 kp/h,339 kp/h,9/20,11/20
Miami GP Qualifying Q1,Liam Lawson,01:27.444,28.748,33.647,25.049,224 kp/h,192 kp/h,280 kp/h,56%,19%,25%,Isack Hadjar,01:27.301,28.759,33.531,25.011,222 kp/h,191 kp/h,287 kp/h,58%,17%,25%,0.143,-0.143,67 kp/h,338 kp/h,12/20,8/20
Miami GP Qualifying Q1,Esteban Ocon,01:27.450,28.945,33.573,24.932,223 kp/h,194 kp/h,286 kp/h,58%,20%,22%,Ollie Bearman,01:27.999,29.116,33.765,25.118,219 kp/h,192 kp/h,286 kp/h,59%,20%,21%,-0.549,0.549,66 kp/h,339 kp/h,9/20,11/20
Miami GP Qualifying Q1,Lando Norris,01:26.955,28.800,33.377,24.778,221 kp/h,192 kp/h,287 kp/h,58%,14%,28%,Oscar Piastri,01:27.006,28.671,33.468,24.867,219 kp/h,192 kp/h,287 kp/h,58%,13%,29%,-0.051,0.051,68 kp/h,338 kp/h,11/20,9/20
