Q1_Red Bull Racing,Q2_Red Bull Racing,Q3_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q1_Williams,Q2_Williams,Q3_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
-0.544,0.07,0.149,-0.159,,,,-0.057,-0.132,0.016,-0.172,-0.01,-0.168,0.012,0.155,-0.279,0.03,-0.22,-0.05,0.219
0.253,0.022,-0.068,0.081,,,,0.033,0.067,0.016,0.086,-0.034,0.136,-0.003,-0.089,-0.044,0.067,0.062,-0.066,-0.115
0.111,0.008,-0.035,-0.017,,,,0.061,-0.001,-0.068,0.019,-0.027,0.047,-0.029,-0.011,0.026,-0.011,-0.063,-0.039,-0.042
0.038,-0.013,-0.035,-0.021,,,,0.068,0.005,-0.017,-0.036,-0.011,0.063,-0.039,-0.007,0.059,0.1,-0.033,-0.054,-0.013
0.014,0.048,0.061,-0.017,,,,0.036,0.052,0.039,-0.042,0.006,-0.017,-0.022,0.026,-0.012,-0.013,-0.048,-0.042,0.045
0.04,-0.024,0.006,-0.035,,,,0.009,0.009,-0.066,0.026,0.001,-0.053,0.043,0.003,-0.02,-0.025,0.014,0.005,-0.045
-0.026,0.064,0.027,0.12,,,,0.014,-0.022,0.045,-0.059,0.036,0.007,0.021,0.046,0.011,-0.014,0.066,0.003,0.041
0.188,0.081,0.113,0.003,,,,0.088,-0.026,0.005,-0.086,0.102,0.01,0.028,0.052,0.0,0.003,-0.076,0.042,0.048
0.16,0.026,0.053,-0.119,,,,0.063,-0.061,-0.059,0.08,0.003,0.107,0.072,-0.084,0.034,0.085,0.094,-0.202,0.013
0.011,-0.018,-0.018,-0.018,,,,0.03,0.003,0.001,-0.01,0.018,0.013,0.015,-0.013,-0.017,-0.008,0.049,0.006,0.002
-0.144,-0.209,0.336,-0.265,,,,0.085,0.266,0.049,-0.216,0.273,-0.536,-0.08,0.121,0.051,0.189,0.218,0.256,0.113
0.161,0.085,-0.08,0.104,,,,-0.057,-0.145,-0.07,-0.052,-0.032,-0.053,0.026,-0.036,0.049,-0.069,0.204,-0.143,0.038
-0.013,0.012,-0.085,0.079,,,,-0.078,-0.114,-0.011,0.286,-0.23,0.161,-0.03,-0.083,-0.048,0.021,-0.082,0.003,-0.022
-0.089,0.02,0.176,0.001,,,,0.082,0.058,0.093,-0.151,0.271,-0.292,-0.105,0.126,-0.122,0.095,0.107,0.091,0.118
-0.001,-0.039,0.035,-0.098,,,,-0.018,0.062,-0.035,0.04,0.024,0.002,-0.05,-0.079,-0.034,-0.002,-0.039,-0.042,-0.015
0.02,0.109,0.086,-0.028,,,,-0.008,0.062,0.008,-0.053,-0.031,0.08,0.004,0.23,-0.017,0.152,-0.135,0.105,0.158
0.338,-0.05,0.134,-0.258,,,,0.105,-0.122,0.388,0.627,-0.125,0.244,-0.209,-0.262,0.025,0.003,0.149,0.109,-0.286
-0.074,0.112,-0.099,0.295,,,,-0.188,-0.11,-0.279,-0.171,-0.206,0.064,0.17,-0.167,-0.014,-0.056,-0.191,-0.188,-0.116
-0.019,0.001,-0.019,0.052,,,,-0.03,0.006,0.001,-0.042,-0.016,0.062,0.014,-0.029,-0.035,0.006,-0.017,-0.021,-0.022
0.004,0.011,0.002,0.012,,,,-0.012,0.005,0.002,-0.018,-0.02,0.01,0.032,-0.042,0.011,-0.004,-0.008,-0.003,-0.013
