Q1_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
-0.057,0.021,-0.27,-0.243,0.036,-0.378,0.001,-0.081,0.169,0.036,0.028,-0.12,-0.028,0.265,0.247,0.048,-0.032
0.181,0.009,0.109,0.418,-0.088,0.168,-0.198,0.023,-0.125,0.003,-0.083,0.052,-0.107,-0.019,-0.056,-0.036,0.157
0.052,0.186,-0.062,-0.048,0.013,0.133,-0.05,0.062,0.002,-0.068,-0.054,-0.063,-0.091,0.041,-0.035,0.009,0.013
0.127,0.081,-0.022,-0.034,0.03,0.083,0.026,0.057,-0.003,-0.093,0.068,-0.03,-0.003,0.148,-0.022,0.035,-0.006
0.011,-0.009,-0.032,0.024,-0.017,0.021,0.042,-0.003,0.009,-0.018,-0.016,-0.006,0.003,0.098,0.004,0.031,-0.01
0.025,-0.043,-0.071,-0.103,-0.017,-0.04,0.014,0.053,0.007,-0.007,0.062,0.042,-0.008,0.13,0.008,-0.054,-0.06
0.069,0.074,-0.157,0.079,0.021,0.005,0.033,0.116,0.035,-0.003,0.01,-0.016,-0.062,0.127,0.047,0.052,-0.087
0.064,-0.087,-0.142,-0.031,-0.01,-0.046,-0.067,0.046,0.097,-0.1,0.019,-0.017,-0.041,-0.01,0.049,-0.068,0.019
0.022,0.174,0.261,0.038,0.065,0.271,0.028,-0.033,-0.035,0.088,-0.047,-0.234,-0.031,0.04,-0.227,-0.147,-0.048
-0.03,0.009,0.031,-0.011,0.02,0.001,0.02,-0.024,-0.002,0.0,0.012,-0.008,-0.004,0.018,0.008,0.023,0.009
0.05,-0.281,-0.471,-0.089,0.035,-0.124,-0.106,-0.011,0.051,-0.01,0.206,-0.209,-0.09,0.282,0.348,0.11,-0.118
0.053,0.08,0.033,0.018,0.134,0.133,0.189,-0.15,-0.006,-0.031,-0.013,-0.073,-0.117,-0.026,0.021,0.064,0.098
0.028,0.213,0.273,0.043,-0.027,0.078,-0.003,-0.017,-0.046,-0.004,-0.056,0.187,0.103,-0.041,-0.091,-0.014,0.023
0.067,-0.098,-0.443,-0.089,-0.001,-0.006,-0.033,-0.006,0.095,0.034,0.038,0.076,0.022,0.167,0.082,0.199,-0.075
0.01,-0.103,-0.084,-0.045,-0.007,0.071,-0.043,-0.005,0.01,0.105,-0.016,-0.009,-0.065,0.081,0.045,0.015,0.022
0.124,-0.018,-0.094,-0.001,0.062,-0.045,-0.039,0.117,-0.002,0.1,0.203,-0.062,-0.079,0.255,0.064,0.091,-0.123
-0.096,0.41,0.555,-0.033,0.124,0.038,0.361,0.142,0.161,-0.1,0.092,-0.03,0.062,0.008,-0.333,0.216,-0.061
0.536,0.209,0.352,0.29,-0.132,0.196,-0.243,-0.179,-0.197,0.115,0.176,0.022,-0.051,-0.095,-0.048,-0.301,0.207
0.04,-0.001,0.047,0.056,0.01,0.017,-0.03,-0.016,0.013,-0.011,0.064,-0.021,-0.02,0.051,-0.025,-0.022,0.019
0.017,0.0,0.017,0.043,0.058,-0.003,0.004,-0.012,-0.011,0.004,0.077,-0.001,0.005,0.002,-0.025,-0.006,-0.002
